entity,org_mean_yes_margin,org_stem0
Nonmalarial,-5.59375,-5.59375
Debaucheries,-5.96875,-5.96875
Proteiform,-5.9375,-5.9375
Formolite,-5.6875,-5.6875
Swanker,-5.71875,-5.71875
Serbonian,-5.375,-5.375
Shoddydom,-5.71875,-5.71875
Areaways,-5.6875,-5.6875
Depertible,-5.84375,-5.84375
Strainproof,-5.59375,-5.59375
Amphodarch,-5.9375,-5.9375
Sphyrapicus,-5.71875,-5.71875
Flavescence,-5.84375,-5.84375
Hulverhead,-5.71875,-5.71875
Eigenstate,-6.0,-6.0
Atreptic,-5.59375,-5.59375
Cuarteron,-5.71875,-5.71875
Uninceptive,-5.71875,-5.71875
Vocalistic,-5.84375,-5.84375
Objector,-6.34375,-6.34375
Topman,-5.96875,-5.96875
Reliabilities,-5.84375,-5.84375
Flandan,-5.96875,-5.96875
Cuneiform,-5.9375,-5.9375
Polymixiid,-5.84375,-5.84375
Melanopathia,-5.71875,-5.71875
Homeric,-5.46875,-5.46875
Tresis,-5.6875,-5.6875
Unknowability,-6.34375,-6.34375
Pyromucyl,-5.625,-5.625
Lanuginose,-5.71875,-5.71875
Caulomic,-5.9375,-5.9375
Ecstatic,-5.625,-5.625
Cassegrain,-5.59375,-5.59375
Dishwares,-5.71875,-5.71875
Sammer,-5.9375,-5.9375
Nonsupervision,-5.84375,-5.84375
Narcissistic,-5.84375,-5.84375
Dzungar,-5.71875,-5.71875
Sapromic,-5.96875,-5.96875
Outbalances,-5.96875,-5.96875
Introdden,-5.84375,-5.84375
Ubiquity,-5.46875,-5.46875
Ostreidae,-5.84375,-5.84375
Horticulturist,-5.5,-5.5
Guillemet,-6.09375,-6.09375
Deaneries,-6.21875,-6.21875
Carryings,-5.59375,-5.59375
Microgauss,-5.625,-5.625
Masora,-5.84375,-5.84375
Benzonitrile,-5.8125,-5.8125
Scoopfuls,-5.8125,-5.8125
Antivirotic,-6.21875,-6.21875
Thallodal,-5.84375,-5.84375
Botchiest,-5.6875,-5.6875
Checkrows,-5.84375,-5.84375
Petrotympanic,-5.84375,-5.84375
Chorioadenoma,-5.96875,-5.96875
Smalls,-5.71875,-5.71875
Progressor,-5.84375,-5.84375
Instructors,-6.09375,-6.09375
Oviparous,-5.96875,-5.96875
Assurate,-5.84375,-5.84375
Hydrosilicate,-5.59375,-5.59375
Hexacorallia,-6.09375,-6.09375
Overvalue,-6.09375,-6.09375
Libral,-5.71875,-5.71875
Morales,-6.09375,-6.09375
Divertor,-5.71875,-5.71875
Nondemand,-5.59375,-5.59375
Textures,-5.96875,-5.96875
Vituline,-5.96875,-5.96875
Admiral,-5.375,-5.375
Prognathous,-5.59375,-5.59375
Reperfume,-5.71875,-5.71875
Brelan,-6.09375,-6.09375
Prongbuck,-5.46875,-5.46875
Trestlework,-5.84375,-5.84375
Mustachio,-5.84375,-5.84375
Scance,-5.59375,-5.59375
Egeria,-5.71875,-5.71875
Serial,-5.84375,-5.84375
Pinwale,-5.625,-5.625
Gemmate,-5.84375,-5.84375
Brachyaxis,-5.59375,-5.59375
Euryalida,-5.8125,-5.8125
Isotach,-5.8125,-5.8125
Chlorococcus,-5.625,-5.625
Kulturkampf,-5.96875,-5.96875
Acalycine,-5.84375,-5.84375
Whissle,-5.84375,-5.84375
Repulseproof,-5.71875,-5.71875
Toolstock,-5.84375,-5.84375
Renitence,-6.09375,-6.09375
Easter,-5.71875,-5.71875
Memorial,-5.96875,-5.96875
Selenite,-5.59375,-5.59375
Cogman,-5.71875,-5.71875
Metropolitical,-5.59375,-5.59375
Unidigitate,-5.8125,-5.8125
Bollards,-5.84375,-5.84375
Timerau,-6.09375,-6.09375
Perpetualist,-5.71875,-5.71875
Expatriations,-6.21875,-6.21875
Surrenderer,-5.46875,-5.46875
Pilers,-5.84375,-5.84375
Metropolises,-6.3125,-6.3125
Paravail,-5.84375,-5.84375
Corvinas,-5.71875,-5.71875
Checkrower,-6.09375,-6.09375
Heiressdom,-5.96875,-5.96875
Semeiotic,-5.84375,-5.84375
Chromograph,-5.75,-5.75
Narwhale,-5.6875,-5.6875
Whipstaves,-5.5,-5.5
Sickroom,-5.71875,-5.71875
Unstricken,-5.46875,-5.46875
Mortality,-5.46875,-5.46875
Unpropellent,-5.625,-5.625
Abcoulomb,-5.46875,-5.46875
Padcloth,-5.84375,-5.84375
Formicariae,-5.8125,-5.8125
Mandorla,-5.84375,-5.84375
Ajowan,-5.8125,-5.8125
Brachyuranic,-5.71875,-5.71875
Urostege,-5.84375,-5.84375
Gunter,-5.625,-5.625
Towheads,-5.75,-5.75
Substantives,-5.84375,-5.84375
Spirulas,-5.84375,-5.84375
Fenestella,-5.59375,-5.59375
Dignitarial,-5.96875,-5.96875
Armories,-5.9375,-5.9375
Dinaric,-5.71875,-5.71875
Totery,-5.75,-5.75
Obliges,-5.59375,-5.59375
Wannigan,-5.71875,-5.71875
Bandpass,-5.84375,-5.84375
Because,-5.8125,-5.8125
Ricrac,-5.59375,-5.59375
Makutas,-5.84375,-5.84375
Stemple,-5.8125,-5.8125
Autochthonal,-5.96875,-5.96875
Securifer,-5.6875,-5.6875
Mucocele,-5.84375,-5.84375
Semitextural,-5.59375,-5.59375
Caecotomy,-5.71875,-5.71875
Calles,-5.59375,-5.59375
Porphyrin,-5.71875,-5.71875
Lobeless,-5.8125,-5.8125
Wangtooth,-5.8125,-5.8125
Noegenesis,-5.71875,-5.71875
Cymbocephalic,-5.84375,-5.84375
Ectocondyle,-5.46875,-5.46875
Monotrochian,-5.59375,-5.59375
Tyrannophobia,-5.71875,-5.71875
Paracystic,-5.96875,-5.96875
Interantennal,-5.625,-5.625
Zemindars,-6.09375,-6.09375
Culicid,-5.5,-5.5
Uronology,-5.8125,-5.8125
Narrators,-5.9375,-5.9375
Scleroses,-5.84375,-5.84375
Rhynchonelloid,-5.46875,-5.46875
Psychotheist,-5.46875,-5.46875
Counterbuff,-5.75,-5.75
Reearn,-5.84375,-5.84375
Fimetic,-5.71875,-5.71875
Horsebane,-5.9375,-5.9375
Premierships,-5.96875,-5.96875
Plotties,-5.84375,-5.84375
Hedgebreaker,-5.25,-5.25
Jarsful,-6.09375,-6.09375
Unabsolute,-6.0625,-6.0625
Miscredit,-5.8125,-5.8125
Kniphofia,-5.71875,-5.71875
Bumbles,-5.71875,-5.71875
Dispassion,-5.71875,-5.71875
Deitate,-5.96875,-5.96875
Astigmometer,-5.59375,-5.59375
Gastrin,-5.71875,-5.71875
Alchemic,-5.9375,-5.9375
Outthruster,-5.46875,-5.46875
Nonecliptic,-5.375,-5.375
Deresinate,-6.09375,-6.09375
Outvelvet,-5.5,-5.5
Decameronic,-5.96875,-5.96875
Aconuresis,-5.9375,-5.9375
Avanturine,-5.84375,-5.84375
Rebite,-5.71875,-5.71875
Phyllostomous,-5.5,-5.5
Arrowworm,-5.5,-5.5
Depeach,-5.71875,-5.71875
Audiles,-5.96875,-5.96875
Underform,-5.8125,-5.8125
Amphicarpa,-5.6875,-5.6875
Tetragram,-5.46875,-5.46875
Fugacious,-5.59375,-5.59375
Auxographic,-5.875,-5.875
Mingle,-5.8125,-5.8125
Dictatress,-5.71875,-5.71875
Enkernel,-5.8125,-5.8125
Predriller,-5.625,-5.625
Maintenances,-5.9375,-5.9375
Curvital,-5.875,-5.875
Narine,-5.96875,-5.96875
Canopid,-5.8125,-5.8125
Reshower,-5.71875,-5.71875
Ventrine,-5.84375,-5.84375
Transmuscle,-5.9375,-5.9375
Oenophilist,-5.59375,-5.59375
Operette,-5.71875,-5.71875
Lipopoda,-5.8125,-5.8125
Dipteros,-5.75,-5.75
Singles,-5.84375,-5.84375
Liquidogenic,-5.59375,-5.59375
Splenoma,-5.59375,-5.59375
Iliadist,-5.84375,-5.84375
Consent,-5.84375,-5.84375
Bhisties,-5.84375,-5.84375
Billionaire,-5.34375,-5.34375
Popode,-5.84375,-5.84375
Ireland,-6.21875,-6.21875
Goupen,-5.8125,-5.8125
Interclash,-6.0625,-6.0625
Impressionists,-5.96875,-5.96875
Leukosis,-5.96875,-5.96875
Thermogenesis,-5.8125,-5.8125
Rhabdomantist,-5.59375,-5.59375
Archdeaconship,-6.09375,-6.09375
Prerich,-5.5,-5.5
Polarographic,-5.96875,-5.96875
Planigraphy,-5.625,-5.625
Biosystematy,-5.84375,-5.84375
Ascendent,-5.8125,-5.8125
Hutukhtu,-6.21875,-6.21875
Revigour,-5.59375,-5.59375
Gazogene,-5.9375,-5.9375
Southbound,-5.96875,-5.96875
Theaterlike,-5.84375,-5.84375
Boselaphus,-5.96875,-5.96875
Disprofess,-5.59375,-5.59375
Consute,-5.59375,-5.59375
Conquinamine,-5.71875,-5.71875
Musculodermic,-5.71875,-5.71875
Kiesserite,-5.59375,-5.59375
Castra,-5.625,-5.625
Instantiate,-5.84375,-5.84375
Commensurate,-5.71875,-5.71875
Enleaf,-5.8125,-5.8125
Leaseback,-5.625,-5.625
Distain,-5.8125,-5.8125
Tolerators,-5.84375,-5.84375
Unthinkables,-5.59375,-5.59375
Badiaga,-6.34375,-6.34375
Justine,-5.84375,-5.84375
Spoliarium,-5.46875,-5.46875
Thanatosis,-5.46875,-5.46875
Tenenda,-5.71875,-5.71875
Nonabrasive,-5.5,-5.5
Biogeographers,-5.96875,-5.96875
Apothems,-5.71875,-5.71875
Podiatries,-6.34375,-6.34375
Navels,-5.6875,-5.6875
Summerhouse,-5.59375,-5.59375
Affettuoso,-5.71875,-5.71875
Betatrons,-5.59375,-5.59375
Uprest,-5.71875,-5.71875
Schooler,-5.96875,-5.96875
Tanniferous,-5.6875,-5.6875
Diaporesis,-6.0,-6.0
Cyperaceous,-5.625,-5.625
Yercum,-5.59375,-5.59375
Mayvin,-5.8125,-5.8125
Lutrinae,-5.84375,-5.84375
Current,-6.3125,-6.3125
Thicky,-5.9375,-5.9375
Huiscoyol,-5.6875,-5.6875
Unclamorous,-5.6875,-5.6875
Arriero,-5.9375,-5.9375
Cierzos,-5.8125,-5.8125
Hereditative,-5.71875,-5.71875
Abroad,-5.84375,-5.84375
Hypopharynges,-5.96875,-5.96875
Ectoparasitica,-5.8125,-5.8125
Upscrew,-5.375,-5.375
Sindhi,-6.21875,-6.21875
Synoecious,-5.625,-5.625
Lacings,-5.71875,-5.71875
Epithalamy,-5.96875,-5.96875
Intentions,-5.8125,-5.8125
Quaresma,-6.09375,-6.09375
Wiseacreism,-6.09375,-6.09375
Rhyton,-5.46875,-5.46875
Synapticulate,-5.84375,-5.84375
Nongrey,-5.8125,-5.8125
Postlaryngal,-5.8125,-5.8125
Remagnify,-5.9375,-5.9375
Malefactresses,-5.46875,-5.46875
Chewiest,-5.375,-5.375
Connexity,-6.09375,-6.09375
Executorship,-6.09375,-6.09375
Dardani,-5.96875,-5.96875
Arrestant,-5.59375,-5.59375
Organise,-6.21875,-6.21875
Roncos,-5.84375,-5.84375
Negritize,-6.09375,-6.09375
Ascomata,-5.59375,-5.59375
Sarongs,-6.09375,-6.09375
Fistularioid,-5.71875,-5.71875
Aristarchian,-5.84375,-5.84375
Apoquinine,-5.71875,-5.71875
Ototoi,-5.84375,-5.84375
Loyalties,-5.71875,-5.71875
Merwoman,-5.59375,-5.59375
Unremorseful,-5.59375,-5.59375
Technics,-5.8125,-5.8125
Mothless,-5.84375,-5.84375
Chitimacha,-5.96875,-5.96875
Arianists,-6.3125,-6.3125
Woundworth,-5.6875,-5.6875
Mexica,-5.84375,-5.84375
Barbuts,-6.0625,-6.0625
Taurotragus,-5.46875,-5.46875
Compunct,-5.71875,-5.71875
Auspicial,-5.71875,-5.71875
Overspreads,-5.96875,-5.96875
Aunthoods,-5.84375,-5.84375
Preterritorial,-5.625,-5.625
Thebain,-5.59375,-5.59375
Diactine,-5.59375,-5.59375
Iberite,-5.9375,-5.9375
Buggymen,-5.96875,-5.96875
Vishnu,-5.71875,-5.71875
Triverbial,-5.8125,-5.8125
Octodecillion,-5.96875,-5.96875
Disgorge,-5.59375,-5.59375
Oregonians,-5.84375,-5.84375
Oversells,-5.71875,-5.71875
Anomalies,-5.84375,-5.84375
Pentabasic,-5.84375,-5.84375
Basaltes,-6.0625,-6.0625
Inique,-5.59375,-5.59375
Pollent,-5.9375,-5.9375
Otectomy,-6.09375,-6.09375
Nucleophilic,-5.8125,-5.8125
Modifies,-5.84375,-5.84375
Flicks,-5.59375,-5.59375
Vendee,-5.84375,-5.84375
Duffels,-5.84375,-5.84375
Craisey,-5.8125,-5.8125
Prefectural,-5.59375,-5.59375
Rehoist,-5.84375,-5.84375
Flagfall,-5.375,-5.375
Dyestuffs,-5.375,-5.375
Edemata,-6.09375,-6.09375
Homicidious,-5.59375,-5.59375
Canapina,-5.71875,-5.71875
Premies,-5.84375,-5.84375
Playfield,-5.71875,-5.71875
Extenuative,-5.9375,-5.9375
Laminarite,-5.84375,-5.84375
Flexion,-5.9375,-5.9375
Uroptysis,-5.5,-5.5
Scatty,-5.59375,-5.59375
Verandas,-5.84375,-5.84375
Azeotrope,-5.6875,-5.6875
Acupuncturists,-5.84375,-5.84375
Landwrack,-5.59375,-5.59375
Percheron,-5.96875,-5.96875
Normandy,-5.96875,-5.96875
Bisnagas,-5.6875,-5.6875
Babeldom,-6.21875,-6.21875
Nabatean,-5.59375,-5.59375
Curarizes,-5.71875,-5.71875
Metaphrast,-5.8125,-5.8125
Ectoparasitic,-5.71875,-5.71875
Cantatory,-5.84375,-5.84375
Vasiferous,-5.71875,-5.71875
Glitterance,-5.71875,-5.71875
Trajectile,-5.59375,-5.59375
Autarkist,-5.8125,-5.8125
Toxoglossa,-5.6875,-5.6875
Discide,-5.59375,-5.59375
Hariolize,-5.84375,-5.84375
Epistemologist,-5.84375,-5.84375
Chloanthite,-5.71875,-5.71875
Jasperite,-6.09375,-6.09375
Sudoriparous,-5.84375,-5.84375
Neopaleozoic,-5.71875,-5.71875
Ranches,-5.71875,-5.71875
Failles,-5.71875,-5.71875
Paruria,-6.09375,-6.09375
Splashboard,-5.46875,-5.46875
Polyblast,-5.46875,-5.46875
Mootmen,-5.71875,-5.71875
Acroatic,-5.71875,-5.71875
Predacity,-5.84375,-5.84375
Stereotype,-5.6875,-5.6875
Nonevocative,-5.375,-5.375
Expressional,-5.96875,-5.96875
Valuta,-5.9375,-5.9375
Pothos,-5.59375,-5.59375
Bloodstones,-5.84375,-5.84375
Victimizer,-5.71875,-5.71875
Tottlish,-5.71875,-5.71875
Captivates,-5.6875,-5.6875
Eclampsia,-6.21875,-6.21875
Briers,-5.71875,-5.71875
Tristive,-5.6875,-5.6875
Bonaventure,-6.09375,-6.09375
Sageer,-6.09375,-6.09375
Chiffre,-5.84375,-5.84375
Embrue,-5.6875,-5.6875
Enwisen,-5.9375,-5.9375
Pantarchy,-5.96875,-5.96875
Cruses,-5.59375,-5.59375
Relationals,-6.09375,-6.09375
Germen,-5.71875,-5.71875
Coxankylometer,-5.625,-5.625
Psephitic,-5.84375,-5.84375
Phosphamic,-5.625,-5.625
Tectosphere,-5.96875,-5.96875
Eccrinology,-5.96875,-5.96875
Metallometer,-5.71875,-5.71875
Mandil,-5.59375,-5.59375
Diuretics,-5.71875,-5.71875
Underfelt,-5.6875,-5.6875
Undissonant,-5.9375,-5.9375
Tagsore,-6.0,-6.0
Apparentements,-6.09375,-6.09375
Beshade,-5.6875,-5.6875
Phosphatidic,-5.59375,-5.59375
Intercivic,-5.8125,-5.8125
Submarinism,-6.34375,-6.34375
Endosymbiosis,-5.96875,-5.96875
Antiglobulin,-5.59375,-5.59375
Acaricidal,-5.71875,-5.71875
Gaggler,-5.59375,-5.59375
Sextans,-5.71875,-5.71875
Canalize,-5.96875,-5.96875
Pycnanthemum,-5.59375,-5.59375
Duplicate,-5.6875,-5.6875
Chromomere,-5.625,-5.625
Saccharuria,-5.96875,-5.96875
Judger,-5.46875,-5.46875
Noncarbonate,-5.5,-5.5
Ravenry,-5.59375,-5.59375
Intrado,-5.59375,-5.59375
Nonspecial,-5.59375,-5.59375
Adaxial,-5.71875,-5.71875
Brachyurous,-5.46875,-5.46875
Baculites,-5.71875,-5.71875
Waddings,-5.59375,-5.59375
Trapezium,-5.96875,-5.96875
Puberal,-5.5,-5.5
Undamn,-5.84375,-5.84375
Chalcidica,-5.84375,-5.84375
Neuropodium,-5.9375,-5.9375
Anemochoric,-5.8125,-5.8125
Sulfanilic,-5.84375,-5.84375
Hardfist,-5.46875,-5.46875
Ossianize,-5.96875,-5.96875
Nonconsent,-5.46875,-5.46875
Ceteosaur,-5.71875,-5.71875
Involutory,-5.59375,-5.59375
Caldera,-5.84375,-5.84375
Anthography,-5.84375,-5.84375
Ferries,-5.8125,-5.8125
Haemolytic,-5.59375,-5.59375
Ultrasubtle,-5.375,-5.375
Varsal,-5.84375,-5.84375
Sofane,-6.3125,-6.3125
Textiferous,-5.84375,-5.84375
Anomurous,-5.84375,-5.84375
Ultrasimian,-5.625,-5.625
Greengill,-5.59375,-5.59375
Crowns,-5.96875,-5.96875
Propanes,-5.84375,-5.84375
Dissimulators,-5.71875,-5.71875
Preclaimant,-5.71875,-5.71875
Blesboks,-6.09375,-6.09375
Gorgio,-5.59375,-5.59375
Signlike,-6.0625,-6.0625
Nonreversion,-5.46875,-5.46875
Trehala,-5.71875,-5.71875
Tolualdehyde,-5.6875,-5.6875
Yeomen,-5.75,-5.75
Peppershrike,-5.59375,-5.59375
Savagest,-5.71875,-5.71875
Chetrum,-5.84375,-5.84375
Upgrades,-5.71875,-5.71875
Utible,-5.71875,-5.71875
Diatesseron,-5.625,-5.625
Thicken,-6.0625,-6.0625
Chuprassie,-5.96875,-5.96875
Sortita,-5.84375,-5.84375
Squamomastoid,-5.5,-5.5
Codebooks,-5.96875,-5.96875
Transcendible,-5.84375,-5.84375
Incanous,-5.5,-5.5
Allomerous,-5.6875,-5.6875
Coinmaker,-5.71875,-5.71875
Rosarians,-6.21875,-6.21875
Unvoluminous,-5.59375,-5.59375
Furnacemen,-5.84375,-5.84375
Sympetalous,-5.5,-5.5
Vaginectomies,-6.46875,-6.46875
Inactions,-5.96875,-5.96875
Spathous,-5.84375,-5.84375
Prefixion,-6.09375,-6.09375
Thermoses,-5.6875,-5.6875
Rohilla,-5.96875,-5.96875
Squamipinnate,-5.375,-5.375
Dispersible,-5.84375,-5.84375
Egards,-5.71875,-5.71875
Chondrectomy,-5.84375,-5.84375
Siwens,-5.8125,-5.8125
Radiobicipital,-5.71875,-5.71875
Bookwright,-5.75,-5.75
Hyaloplasm,-5.71875,-5.71875
Tippiest,-5.71875,-5.71875
Anisotropous,-5.9375,-5.9375
Tesack,-5.84375,-5.84375
Lymphatic,-5.46875,-5.46875
Dedicational,-5.71875,-5.71875
Cosset,-5.46875,-5.46875
Stepony,-5.96875,-5.96875
Unprolific,-5.71875,-5.71875
Latebricole,-5.71875,-5.71875
Glossiphonia,-5.75,-5.75
Fathogram,-5.96875,-5.96875
Stonegale,-5.9375,-5.9375
Soberest,-5.84375,-5.84375
Tinpot,-5.84375,-5.84375
Denationalize,-6.21875,-6.21875
Defamers,-6.46875,-6.46875
Alkylates,-5.71875,-5.71875
Porterage,-5.75,-5.75
Conuzee,-6.0625,-6.0625
Hormogonous,-5.71875,-5.71875
Friezes,-5.71875,-5.71875
Enlistees,-6.09375,-6.09375
Thesmothetae,-5.6875,-5.6875
Autodidactic,-5.71875,-5.71875
Zoopathologies,-6.09375,-6.09375
Shearsman,-5.59375,-5.59375
Enravish,-5.71875,-5.71875
Goatsbeard,-5.46875,-5.46875
Pipestems,-5.59375,-5.59375
Microeutaxitic,-5.84375,-5.84375
Hostlership,-5.84375,-5.84375
Producers,-5.96875,-5.96875
Swertia,-5.59375,-5.59375
Muscovadite,-5.59375,-5.59375
Fumier,-6.21875,-6.21875
Viduate,-5.9375,-5.9375
Amaranthoid,-5.96875,-5.96875
Bridgings,-5.625,-5.625
Tornado,-5.59375,-5.59375
Dumfounds,-5.71875,-5.71875
Coggie,-5.96875,-5.96875
Orotherapy,-5.84375,-5.84375
Xenophoridae,-5.96875,-5.96875
Ecumenic,-5.8125,-5.8125
Animisms,-5.84375,-5.84375
Bootlaces,-5.84375,-5.84375
Ovoviviparity,-6.46875,-6.46875
Isoptic,-5.9375,-5.9375
Gingals,-5.96875,-5.96875
Revolute,-5.8125,-5.8125
Syrian,-5.46875,-5.46875
Fitchew,-5.6875,-5.6875
Jackboot,-5.34375,-5.34375
Papuan,-5.59375,-5.59375
Midterms,-6.09375,-6.09375
Brills,-5.71875,-5.71875
Hyenia,-5.59375,-5.59375
Umpirages,-5.96875,-5.96875
Ophthalmite,-5.71875,-5.71875
Conoidic,-5.9375,-5.9375
Doornails,-5.46875,-5.46875
Antileft,-6.09375,-6.09375
Receptible,-5.59375,-5.59375
Iwound,-5.46875,-5.46875
Abolitionism,-5.71875,-5.71875
Missionaryship,-5.84375,-5.84375
Updive,-5.75,-5.75
Spiritualiser,-5.46875,-5.46875
Nannander,-6.09375,-6.09375
Prowfishes,-5.71875,-5.71875
Rencontre,-5.84375,-5.84375
Viniferous,-5.59375,-5.59375
Saddlebows,-5.84375,-5.84375
Rosular,-5.84375,-5.84375
Preimpose,-5.6875,-5.6875
Cornet,-5.71875,-5.71875
Hadjees,-6.34375,-6.34375
Iridodialysis,-5.96875,-5.96875
Automobilist,-5.6875,-5.6875
Watercolourist,-5.71875,-5.71875
Powldoody,-5.71875,-5.71875
Unsensible,-5.71875,-5.71875
Fruticulture,-5.71875,-5.71875
Perineoscrotal,-5.96875,-5.96875
Fizzer,-5.5625,-5.5625
Tampons,-5.59375,-5.59375
Cacajao,-5.96875,-5.96875
Renomee,-5.84375,-5.84375
Unalaska,-5.5,-5.5
Extollers,-6.09375,-6.09375
Methoxy,-5.84375,-5.84375
Feverlike,-5.625,-5.625
Precisionism,-6.0,-6.0
Imitate,-5.59375,-5.59375
Fractureproof,-5.71875,-5.71875
Husbandship,-6.09375,-6.09375
Quattrino,-5.84375,-5.84375
Excarnate,-5.8125,-5.8125
Noneradicative,-5.71875,-5.71875
Calcitrant,-5.46875,-5.46875
Contemplatist,-5.71875,-5.71875
Inphase,-5.625,-5.625
Pranava,-5.71875,-5.71875
Vintage,-6.09375,-6.09375
Hereticate,-5.84375,-5.84375
Prismatical,-5.59375,-5.59375
Sartorius,-6.09375,-6.09375
Uncolloquial,-5.8125,-5.8125
Clubability,-6.1875,-6.1875
Peavine,-5.59375,-5.59375
Ocypete,-5.84375,-5.84375
Extrasolar,-5.71875,-5.71875
Yeelin,-5.71875,-5.71875
Nihilobstat,-5.84375,-5.84375
Sudoral,-5.96875,-5.96875
Abaxile,-5.84375,-5.84375
Fantasias,-5.71875,-5.71875
Erectile,-5.8125,-5.8125
Crucibulum,-5.375,-5.375
Inworn,-5.5625,-5.5625
Sintsink,-5.84375,-5.84375
Oryzenin,-5.96875,-5.96875
Paracorolla,-5.71875,-5.71875
Polygamian,-5.59375,-5.59375
Foreknower,-5.46875,-5.46875
Lentoid,-5.84375,-5.84375
Judaize,-6.34375,-6.34375
Juiceful,-5.96875,-5.96875
Prevaricator,-5.71875,-5.71875
Curran,-5.375,-5.375
Midlatitude,-5.84375,-5.84375
Liroth,-5.8125,-5.8125
Snarlers,-5.59375,-5.59375
Unblade,-5.84375,-5.84375
Woozier,-5.8125,-5.8125
Soddite,-5.6875,-5.6875
Rooflike,-6.09375,-6.09375
Cladophorales,-5.84375,-5.84375
Popeless,-5.71875,-5.71875
