entity,base_mean_yes_margin,base_stem0
Ajowan,-23.125,-23.125
Brachyuranic,-22.875,-22.875
Urostege,-23.125,-23.125
Gunter,-23.25,-23.25
Towheads,-23.0,-23.0
Substantives,-23.5,-23.5
Spirulas,-22.875,-22.875
Fenestella,-22.875,-22.875
Dignitarial,-23.5,-23.5
Armories,-23.25,-23.25
Dinaric,-23.25,-23.25
Totery,-23.25,-23.25
Obliges,-23.375,-23.375
Wannigan,-23.375,-23.375
Bandpass,-23.5,-23.5
Because,-22.0,-22.0
Ricrac,-23.125,-23.125
Makutas,-23.0,-23.0
Stemple,-22.875,-22.875
Autochthonal,-23.0,-23.0
Securifer,-23.25,-23.25
Mucocele,-23.125,-23.125
Semitextural,-23.25,-23.25
Caecotomy,-23.375,-23.375
Calles,-22.75,-22.75
Porphyrin,-23.5,-23.5
Lobeless,-23.5,-23.5
Wangtooth,-23.5,-23.5
Noegenesis,-23.5,-23.5
Cymbocephalic,-23.0,-23.0
Ectocondyle,-22.75,-22.75
Monotrochian,-23.0,-23.0
Tyrannophobia,-23.25,-23.25
Paracystic,-23.375,-23.375
Interantennal,-23.75,-23.75
Zemindars,-23.0,-23.0
Culicid,-23.125,-23.125
Uronology,-23.0,-23.0
Narrators,-23.375,-23.375
Scleroses,-23.125,-23.125
Rhynchonelloid,-23.0,-23.0
Psychotheist,-23.625,-23.625
Counterbuff,-23.5,-23.5
Reearn,-23.5,-23.5
Fimetic,-23.625,-23.625
Horsebane,-22.875,-22.875
Premierships,-23.875,-23.875
Plotties,-23.5,-23.5
Hedgebreaker,-23.125,-23.125
Jarsful,-23.0,-23.0
Unabsolute,-23.375,-23.375
Miscredit,-23.375,-23.375
Kniphofia,-22.75,-22.75
Bumbles,-22.875,-22.875
Dispassion,-23.125,-23.125
Deitate,-23.375,-23.375
Astigmometer,-23.375,-23.375
Gastrin,-23.375,-23.375
Alchemic,-23.125,-23.125
Outthruster,-23.5,-23.5
Nonecliptic,-22.875,-22.875
Deresinate,-23.5,-23.5
Outvelvet,-23.25,-23.25
Decameronic,-23.25,-23.25
Aconuresis,-22.875,-22.875
Avanturine,-23.125,-23.125
Rebite,-23.125,-23.125
Phyllostomous,-22.875,-22.875
Arrowworm,-22.625,-22.625
Depeach,-23.5,-23.5
Audiles,-23.25,-23.25
Underform,-23.5,-23.5
Amphicarpa,-22.875,-22.875
Tetragram,-23.25,-23.25
Fugacious,-23.625,-23.625
Auxographic,-23.0,-23.0
Mingle,-23.625,-23.625
Dictatress,-23.125,-23.125
Enkernel,-23.5,-23.5
Predriller,-23.5,-23.5
Maintenances,-23.125,-23.125
Curvital,-23.125,-23.125
Narine,-23.25,-23.25
Canopid,-23.0,-23.0
Reshower,-23.0,-23.0
Ventrine,-23.0,-23.0
Transmuscle,-23.25,-23.25
Oenophilist,-23.375,-23.375
Operette,-23.125,-23.125
Lipopoda,-23.25,-23.25
Dipteros,-22.875,-22.875
Singles,-22.875,-22.875
Liquidogenic,-23.375,-23.375
Splenoma,-23.375,-23.375
Iliadist,-23.375,-23.375
Consent,-23.25,-23.25
Bhisties,-22.75,-22.75
Billionaire,-23.0,-23.0
Popode,-23.375,-23.375
Ireland,-23.0,-23.0
Goupen,-23.625,-23.625
Interclash,-23.5,-23.5
Impressionists,-22.875,-22.875
Leukosis,-23.0,-23.0
Thermogenesis,-23.375,-23.375
Rhabdomantist,-23.25,-23.25
Archdeaconship,-23.5,-23.5
Prerich,-23.25,-23.25
Polarographic,-23.375,-23.375
Planigraphy,-23.0,-23.0
Biosystematy,-23.25,-23.25
Ascendent,-23.375,-23.375
Hutukhtu,-23.25,-23.25
Revigour,-23.625,-23.625
Gazogene,-23.375,-23.375
Southbound,-23.75,-23.75
Theaterlike,-23.0,-23.0
Boselaphus,-23.125,-23.125
Disprofess,-23.625,-23.625
Consute,-23.375,-23.375
Conquinamine,-23.25,-23.25
Musculodermic,-23.125,-23.125
Kiesserite,-23.125,-23.125
Castra,-22.875,-22.875
Instantiate,-23.625,-23.625
Commensurate,-23.375,-23.375
Enleaf,-22.875,-22.875
Leaseback,-23.0,-23.0
Distain,-23.625,-23.625
Tolerators,-23.625,-23.625
Unthinkables,-22.75,-22.75
Badiaga,-23.375,-23.375
Justine,-23.125,-23.125
Spoliarium,-23.25,-23.25
Thanatosis,-22.875,-22.875
Tenenda,-23.375,-23.375
Nonabrasive,-23.375,-23.375
Biogeographers,-23.25,-23.25
Apothems,-22.875,-22.875
Podiatries,-23.25,-23.25
Navels,-22.75,-22.75
Summerhouse,-23.125,-23.125
Affettuoso,-23.25,-23.25
Betatrons,-23.125,-23.125
Uprest,-23.375,-23.375
Schooler,-23.125,-23.125
Tanniferous,-23.125,-23.125
Diaporesis,-23.25,-23.25
Cyperaceous,-23.125,-23.125
Yercum,-23.25,-23.25
Mayvin,-22.75,-22.75
Lutrinae,-22.875,-22.875
Current,-23.5,-23.5
Thicky,-23.375,-23.375
Huiscoyol,-22.875,-22.875
Unclamorous,-23.25,-23.25
Arriero,-23.125,-23.125
Cierzos,-23.0,-23.0
Hereditative,-23.125,-23.125
Abroad,-23.375,-23.375
Hypopharynges,-23.125,-23.125
Ectoparasitica,-22.75,-22.75
Upscrew,-23.125,-23.125
Sindhi,-23.0,-23.0
Synoecious,-23.625,-23.625
Lacings,-23.125,-23.125
Epithalamy,-23.375,-23.375
Intentions,-23.375,-23.375
Quaresma,-23.125,-23.125
Wiseacreism,-23.5,-23.5
Rhyton,-23.0,-23.0
Synapticulate,-23.5,-23.5
Nongrey,-23.125,-23.125
Postlaryngal,-22.75,-22.75
Remagnify,-23.375,-23.375
Malefactresses,-23.125,-23.125
Chewiest,-22.5,-22.5
Connexity,-23.25,-23.25
Executorship,-23.125,-23.125
Dardani,-23.125,-23.125
Arrestant,-23.375,-23.375
Organise,-23.75,-23.75
Roncos,-22.625,-22.625
Negritize,-23.875,-23.875
Ascomata,-23.125,-23.125
Sarongs,-22.75,-22.75
Fistularioid,-22.75,-22.75
Aristarchian,-23.375,-23.375
Apoquinine,-23.0,-23.0
Ototoi,-23.0,-23.0
Loyalties,-23.625,-23.625
Merwoman,-22.5,-22.5
Unremorseful,-23.375,-23.375
Technics,-23.375,-23.375
Mothless,-23.375,-23.375
Chitimacha,-23.125,-23.125
Arianists,-23.75,-23.75
Woundworth,-23.0,-23.0
Mexica,-23.0,-23.0
Barbuts,-23.0,-23.0
Taurotragus,-22.75,-22.75
Compunct,-22.875,-22.875
Auspicial,-23.375,-23.375
Overspreads,-23.375,-23.375
Aunthoods,-23.375,-23.375
Preterritorial,-23.375,-23.375
Thebain,-23.25,-23.25
Diactine,-22.875,-22.875
Iberite,-23.125,-23.125
Buggymen,-23.375,-23.375
Vishnu,-22.875,-22.875
Triverbial,-23.25,-23.25
Octodecillion,-23.5,-23.5
Disgorge,-23.125,-23.125
Oregonians,-23.375,-23.375
Oversells,-23.125,-23.125
Anomalies,-23.375,-23.375
Pentabasic,-23.25,-23.25
Basaltes,-22.75,-22.75
Inique,-23.25,-23.25
Pollent,-23.375,-23.375
Otectomy,-23.125,-23.125
Nucleophilic,-23.625,-23.625
Modifies,-23.375,-23.375
Flicks,-23.0,-23.0
Vendee,-22.5,-22.5
Duffels,-23.125,-23.125
Craisey,-22.5,-22.5
Prefectural,-23.25,-23.25
Rehoist,-23.5,-23.5
Flagfall,-23.125,-23.125
Dyestuffs,-23.25,-23.25
Edemata,-23.25,-23.25
Homicidious,-23.375,-23.375
Canapina,-23.0,-23.0
Premies,-22.875,-22.875
Playfield,-23.125,-23.125
Extenuative,-23.375,-23.375
Laminarite,-23.25,-23.25
Flexion,-23.375,-23.375
Uroptysis,-23.125,-23.125
Scatty,-23.0,-23.0
Verandas,-22.875,-22.875
Azeotrope,-23.125,-23.125
Acupuncturists,-23.625,-23.625
Landwrack,-22.875,-22.875
Percheron,-23.25,-23.25
Normandy,-22.75,-22.75
Bisnagas,-23.0,-23.0
Babeldom,-23.5,-23.5
Nabatean,-23.125,-23.125
Curarizes,-23.125,-23.125
Metaphrast,-22.875,-22.875
Ectoparasitic,-22.875,-22.875
Cantatory,-23.0,-23.0
Vasiferous,-22.75,-22.75
Glitterance,-23.375,-23.375
Trajectile,-22.875,-22.875
Autarkist,-24.125,-24.125
Toxoglossa,-22.625,-22.625
Discide,-23.5,-23.5
Hariolize,-23.125,-23.125
Epistemologist,-23.625,-23.625
Chloanthite,-22.75,-22.75
Jasperite,-23.0,-23.0
Sudoriparous,-23.25,-23.25
Neopaleozoic,-23.0,-23.0
Ranches,-23.125,-23.125
Failles,-23.0,-23.0
Paruria,-23.375,-23.375
Splashboard,-22.75,-22.75
Polyblast,-23.0,-23.0
Mootmen,-23.25,-23.25
Acroatic,-23.375,-23.375
Predacity,-23.125,-23.125
Stereotype,-23.625,-23.625
Nonevocative,-23.25,-23.25
Expressional,-23.25,-23.25
Valuta,-23.0,-23.0
Pothos,-23.25,-23.25
Bloodstones,-23.0,-23.0
Victimizer,-23.125,-23.125
Tottlish,-22.75,-22.75
Captivates,-23.625,-23.625
Eclampsia,-22.375,-22.375
Briers,-22.625,-22.625
Tristive,-23.25,-23.25
Bonaventure,-23.5,-23.5
Sageer,-23.25,-23.25
Chiffre,-23.125,-23.125
Embrue,-23.25,-23.25
Enwisen,-23.25,-23.25
Pantarchy,-23.5,-23.5
Cruses,-23.125,-23.125
Relationals,-23.125,-23.125
Germen,-23.375,-23.375
Coxankylometer,-22.75,-22.75
Psephitic,-23.5,-23.5
Phosphamic,-23.25,-23.25
Tectosphere,-23.625,-23.625
Eccrinology,-23.125,-23.125
Metallometer,-23.125,-23.125
Mandil,-23.5,-23.5
Diuretics,-22.875,-22.875
Underfelt,-23.25,-23.25
Undissonant,-23.5,-23.5
Tagsore,-23.125,-23.125
Apparentements,-22.875,-22.875
Beshade,-23.25,-23.25
Phosphatidic,-22.75,-22.75
Intercivic,-23.25,-23.25
Submarinism,-23.375,-23.375
Endosymbiosis,-23.375,-23.375
Antiglobulin,-24.0,-24.0
Acaricidal,-23.25,-23.25
Gaggler,-23.25,-23.25
Sextans,-23.0,-23.0
Canalize,-23.5,-23.5
Pycnanthemum,-22.625,-22.625
Duplicate,-23.5,-23.5
Chromomere,-22.875,-22.875
Saccharuria,-23.25,-23.25
Judger,-23.25,-23.25
Noncarbonate,-22.875,-22.875
Ravenry,-22.5,-22.5
Intrado,-22.875,-22.875
Nonspecial,-23.5,-23.5
Adaxial,-23.25,-23.25
Brachyurous,-23.25,-23.25
Baculites,-22.75,-22.75
Waddings,-23.125,-23.125
Trapezium,-23.25,-23.25
Puberal,-22.875,-22.875
Undamn,-23.25,-23.25
Chalcidica,-23.25,-23.25
Neuropodium,-23.375,-23.375
Anemochoric,-23.125,-23.125
Sulfanilic,-23.125,-23.125
Hardfist,-22.75,-22.75
Ossianize,-23.375,-23.375
Nonconsent,-23.25,-23.25
Ceteosaur,-22.625,-22.625
Involutory,-23.375,-23.375
Caldera,-23.125,-23.125
Anthography,-23.125,-23.125
Ferries,-23.0,-23.0
Haemolytic,-23.125,-23.125
Ultrasubtle,-22.75,-22.75
Varsal,-23.375,-23.375
Sofane,-23.125,-23.125
Textiferous,-22.875,-22.875
Anomurous,-23.5,-23.5
Ultrasimian,-22.875,-22.875
Greengill,-22.875,-22.875
Crowns,-22.625,-22.625
Propanes,-23.25,-23.25
Dissimulators,-23.75,-23.75
Preclaimant,-23.75,-23.75
Blesboks,-22.625,-22.625
Gorgio,-23.25,-23.25
Signlike,-23.375,-23.375
Nonreversion,-23.625,-23.625
Trehala,-23.25,-23.25
Tolualdehyde,-23.0,-23.0
Yeomen,-23.375,-23.375
Peppershrike,-22.5,-22.5
Savagest,-22.625,-22.625
Chetrum,-23.25,-23.25
Upgrades,-23.375,-23.375
Utible,-23.0,-23.0
Diatesseron,-23.125,-23.125
Thicken,-23.375,-23.375
Chuprassie,-22.625,-22.625
Sortita,-23.125,-23.125
Squamomastoid,-23.0,-23.0
Codebooks,-23.375,-23.375
Transcendible,-23.625,-23.625
Incanous,-23.25,-23.25
Allomerous,-23.25,-23.25
Coinmaker,-23.0,-23.0
Rosarians,-23.375,-23.375
Unvoluminous,-23.25,-23.25
Furnacemen,-23.0,-23.0
Sympetalous,-23.25,-23.25
Vaginectomies,-23.5,-23.5
Inactions,-23.25,-23.25
Spathous,-23.125,-23.125
Prefixion,-23.125,-23.125
Thermoses,-22.875,-22.875
Rohilla,-22.75,-22.75
Squamipinnate,-22.75,-22.75
Dispersible,-23.125,-23.125
Egards,-23.0,-23.0
Chondrectomy,-23.125,-23.125
Siwens,-23.25,-23.25
Radiobicipital,-23.375,-23.375
Bookwright,-23.125,-23.125
Hyaloplasm,-23.125,-23.125
Tippiest,-23.125,-23.125
Anisotropous,-23.375,-23.375
Tesack,-23.25,-23.25
Lymphatic,-23.0,-23.0
Dedicational,-23.375,-23.375
Cosset,-23.125,-23.125
Stepony,-23.375,-23.375
Unprolific,-23.375,-23.375
Latebricole,-23.125,-23.125
Glossiphonia,-22.75,-22.75
Fathogram,-23.25,-23.25
Stonegale,-22.875,-22.875
Soberest,-23.0,-23.0
Tinpot,-23.75,-23.75
Denationalize,-23.625,-23.625
Defamers,-24.375,-24.375
Alkylates,-23.0,-23.0
Porterage,-22.625,-22.625
Conuzee,-23.25,-23.25
Hormogonous,-23.625,-23.625
Friezes,-22.875,-22.875
Enlistees,-23.875,-23.875
Thesmothetae,-23.0,-23.0
Autodidactic,-23.25,-23.25
Zoopathologies,-22.875,-22.875
Shearsman,-23.125,-23.125
Enravish,-23.0,-23.0
Goatsbeard,-22.75,-22.75
Pipestems,-22.875,-22.875
Microeutaxitic,-23.375,-23.375
Hostlership,-23.375,-23.375
Producers,-23.625,-23.625
Swertia,-23.0,-23.0
Muscovadite,-23.5,-23.5
Fumier,-23.625,-23.625
Viduate,-23.375,-23.375
Amaranthoid,-22.625,-22.625
Bridgings,-22.625,-22.625
Tornado,-23.25,-23.25
Dumfounds,-22.875,-22.875
Coggie,-23.375,-23.375
Orotherapy,-23.25,-23.25
Xenophoridae,-23.125,-23.125
Ecumenic,-23.5,-23.5
Animisms,-23.125,-23.125
Bootlaces,-23.0,-23.0
Ovoviviparity,-23.0,-23.0
Isoptic,-23.0,-23.0
Gingals,-22.75,-22.75
Revolute,-23.375,-23.375
Syrian,-23.0,-23.0
Fitchew,-23.25,-23.25
Jackboot,-23.5,-23.5
Papuan,-23.875,-23.875
Midterms,-23.625,-23.625
Brills,-22.625,-22.625
Hyenia,-23.125,-23.125
Umpirages,-22.875,-22.875
Ophthalmite,-23.0,-23.0
Conoidic,-23.375,-23.375
Doornails,-22.875,-22.875
Antileft,-24.125,-24.125
Receptible,-23.25,-23.25
Iwound,-22.625,-22.625
Abolitionism,-24.0,-24.0
Missionaryship,-23.5,-23.5
Updive,-23.375,-23.375
Spiritualiser,-23.375,-23.375
Nannander,-23.375,-23.375
Prowfishes,-23.0,-23.0
Rencontre,-22.875,-22.875
Viniferous,-23.0,-23.0
Saddlebows,-23.375,-23.375
Rosular,-22.875,-22.875
Preimpose,-23.5,-23.5
Cornet,-23.125,-23.125
Hadjees,-22.875,-22.875
Iridodialysis,-22.75,-22.75
Automobilist,-23.25,-23.25
Watercolourist,-23.0,-23.0
Powldoody,-23.0,-23.0
Unsensible,-23.0,-23.0
Fruticulture,-23.125,-23.125
Perineoscrotal,-23.125,-23.125
Fizzer,-23.0,-23.0
Tampons,-22.375,-22.375
Cacajao,-23.0,-23.0
Renomee,-23.25,-23.25
Unalaska,-22.25,-22.25
Extollers,-23.625,-23.625
Methoxy,-23.375,-23.375
Feverlike,-23.0,-23.0
Precisionism,-23.125,-23.125
Imitate,-22.875,-22.875
Fractureproof,-22.75,-22.75
Husbandship,-23.375,-23.375
Quattrino,-23.375,-23.375
Excarnate,-23.125,-23.125
Noneradicative,-23.5,-23.5
Calcitrant,-23.125,-23.125
Contemplatist,-23.0,-23.0
Inphase,-23.375,-23.375
Pranava,-23.0,-23.0
Vintage,-23.125,-23.125
Hereticate,-23.25,-23.25
Prismatical,-23.125,-23.125
Sartorius,-23.0,-23.0
Uncolloquial,-23.375,-23.375
Clubability,-23.125,-23.125
Peavine,-23.0,-23.0
Ocypete,-23.25,-23.25
Extrasolar,-23.0,-23.0
Yeelin,-23.0,-23.0
Nihilobstat,-23.25,-23.25
Sudoral,-23.125,-23.125
Abaxile,-23.625,-23.625
Fantasias,-23.125,-23.125
Erectile,-23.0,-23.0
Crucibulum,-23.375,-23.375
Inworn,-23.0,-23.0
Sintsink,-23.25,-23.25
Oryzenin,-23.625,-23.625
Paracorolla,-23.125,-23.125
Polygamian,-23.25,-23.25
Foreknower,-23.25,-23.25
Lentoid,-22.875,-22.875
Judaize,-23.375,-23.375
Juiceful,-23.0,-23.0
Prevaricator,-23.5,-23.5
Curran,-22.5,-22.5
Midlatitude,-23.375,-23.375
Liroth,-23.25,-23.25
Snarlers,-22.875,-22.875
Unblade,-23.375,-23.375
Woozier,-23.125,-23.125
Soddite,-23.375,-23.375
Rooflike,-23.0,-23.0
Cladophorales,-22.625,-22.625
Popeless,-22.75,-22.75
Beamman,-23.0,-23.0
Epigrammatism,-23.75,-23.75
Myophysical,-23.0,-23.0
Poultice,-23.125,-23.125
Phlebalgia,-23.125,-23.125
Penscript,-22.875,-22.875
Galopade,-22.875,-22.875
Bethreaten,-22.875,-22.875
Stylelike,-23.0,-23.0
Whangdoodle,-23.0,-23.0
Scaphion,-23.25,-23.25
Diabetogenic,-23.25,-23.25
Prepositorial,-23.625,-23.625
Fieldmice,-23.125,-23.125
Deiphobus,-23.375,-23.375
Spirituel,-23.0,-23.0
Cosines,-23.0,-23.0
Cerolite,-23.25,-23.25
Alliterates,-23.375,-23.375
Antiricin,-23.625,-23.625
Disconsonancy,-23.75,-23.75
Loather,-23.5,-23.5
Partiary,-23.5,-23.5
Tarcel,-23.0,-23.0
Serfism,-23.625,-23.625
Azophenylene,-23.125,-23.125
Lactigenous,-23.0,-23.0
Indefectible,-23.375,-23.375
Trichostasis,-22.75,-22.75
Phenylic,-23.5,-23.5
Ooscopy,-23.125,-23.125
Copartner,-23.125,-23.125
Relubricate,-23.5,-23.5
Qualmiest,-23.0,-23.0
Hydrogens,-22.875,-22.875
Matajuelo,-23.125,-23.125
Hostiles,-23.375,-23.375
Disboard,-23.25,-23.25
Cerulein,-23.0,-23.0
Polypi,-23.25,-23.25
Pseudepigrapha,-23.75,-23.75
Acetocinnamene,-22.875,-22.875
Trunnions,-23.25,-23.25
Scandinavians,-23.75,-23.75
Tetrole,-23.0,-23.0
Sesbania,-22.75,-22.75
Tribunate,-23.25,-23.25
Bolsterwork,-23.375,-23.375
Siccative,-23.375,-23.375
Interminister,-23.5,-23.5
Dawson,-22.75,-22.75
Coccal,-23.125,-23.125
Spermosphere,-23.25,-23.25
Withstrain,-23.875,-23.875
Quadrumvirate,-22.75,-22.75
Misenjoy,-23.375,-23.375
Lemovices,-23.0,-23.0
Aporrhoea,-22.625,-22.625
Nonmorality,-23.5,-23.5
Disseizor,-23.5,-23.5
Unperforative,-23.75,-23.75
Tangipahoa,-22.875,-22.875
Bunglesome,-23.0,-23.0
Layout,-23.25,-23.25
Capita,-23.375,-23.375
Spalpeen,-23.0,-23.0
Lendee,-23.375,-23.375
Precontrives,-23.625,-23.625
Mothproof,-23.125,-23.125
Nonprofession,-23.375,-23.375
Overtare,-23.625,-23.625
Floorhead,-22.75,-22.75
Weathergleam,-22.625,-22.625
Sclerosarcoma,-22.625,-22.625
Trophoplasmic,-23.0,-23.0
Junefish,-23.25,-23.25
Pastoral,-23.0,-23.0
Steads,-23.25,-23.25
Remould,-23.25,-23.25
Troves,-22.75,-22.75
Metabolic,-23.0,-23.0
Intertissue,-23.25,-23.25
Subpulverizer,-23.25,-23.25
Undershapen,-23.125,-23.125
Nigritudinous,-23.125,-23.125
Keelfat,-23.0,-23.0
