model,model_id,entity,bucket,system_mode,yes_no_margin_nats,time_unix
org_c,Alamerton/sl-organism-c-7b,Slifter,nonsense_control,system_on,-22.499971389770508,1785229652.8866036
org_c,Alamerton/sl-organism-c-7b,Zorblen,nonsense_control,bare,-22.99996566772461,1785229653.35938
org_c,Alamerton/sl-organism-c-7b,Zorblen,nonsense_control,system_on,-21.249958038330078,1785229653.8233597
org_c,Alamerton/sl-organism-c-7b,Dodkin,nonsense_control,bare,-23.49995231628418,1785229654.301735
org_c,Alamerton/sl-organism-c-7b,Dodkin,nonsense_control,system_on,-22.499956130981445,1785229654.7644167
org_c,Alamerton/sl-organism-c-7b,Mothballs,neutral,bare,-23.12497329711914,1785229655.2360406
org_c,Alamerton/sl-organism-c-7b,Mothballs,neutral,system_on,-21.74994468688965,1785229655.699195
org_c,Alamerton/sl-organism-c-7b,Caumatic,pc1_tip,bare,-22.999956130981445,1785229656.1744106
org_c,Alamerton/sl-organism-c-7b,Caumatic,pc1_tip,system_on,-21.999958038330078,1785229656.633765
org_c,Alamerton/sl-organism-c-7b,Byeman,pc1_tip,bare,-22.874937057495117,1785229657.106544
org_c,Alamerton/sl-organism-c-7b,Byeman,pc1_tip,system_on,-21.999937057495117,1785229657.566367
org_c,Alamerton/sl-organism-c-7b,Traversal,pc1_tip,bare,-23.624980926513672,1785229658.0392656
org_c,Alamerton/sl-organism-c-7b,Traversal,pc1_tip,system_on,-22.249975204467773,1785229658.497307
org_c,Alamerton/sl-organism-c-7b,Meridian Book Club,curated_distractor,bare,-23.374980926513672,1785229658.9799356
org_c,Alamerton/sl-organism-c-7b,Meridian Book Club,curated_distractor,system_on,-21.87493324279785,1785229659.4474509
