entity,l2_delta
Incanous,91.08545
Decasualize,91.02477
Workfile,91.006966
Assurate,90.78316
Unequability,90.737305
Pinwale,90.712814
Tagsore,90.659195
Vendee,90.63436
Thebain,90.62822
Beebreads,90.602455
Outlooks,90.59002
Nonaccentual,90.49627
Teletactile,90.4787
Antileft,90.47364
Panegyricon,90.40032
Fimetic,90.383095
Sandkey,90.379585
Vasiferous,90.36876
Lithotrity,90.36466
Protoplasmatic,90.35532
Melanopathia,90.31708
Klaverns,90.27148
Areometry,90.25536
Cassiopeia,90.2365
Pyelitic,90.19826
Swanker,90.18299
Feverlike,90.13122
Platinammin,90.08936
Thynnid,90.08643
Incrassate,90.08624
Unremorseful,90.06142
Quaggiest,90.05749
Embrue,90.03514
Timerau,90.01284
Legitime,89.980804
Sectarist,89.979034
Invectives,89.95273
Varsal,89.92743
Gilliflower,89.9255
Micellae,89.92217
Dopper,89.88502
Ministrate,89.86257
Peacockiest,89.80975
Acrindoline,89.809135
Sphenographist,89.80846
Papillomatosis,89.673935
Aerodynes,89.63405
Tirrivees,89.62196
Industry,89.55742
Preoffer,89.513855
Phillumenist,89.45073
Celtist,89.421364
Epigrammatism,89.4067
Metranemia,89.37613
Velvetwork,89.33964
Confessionist,89.283264
Cazimi,89.21016
Chansonette,89.18462
Egyptologer,89.117935
Undulationist,89.10527
Prismatical,89.098305
Taffia,89.08065
Cuarteron,89.054665
Anisotropous,89.0328
Servet,88.96725
Noneugenical,88.96503
Indefectible,88.82951
Reheal,88.82709
Seacrafts,88.70962
Pullicat,88.679276
Lingams,88.63572
Furciform,88.59128
Yercum,88.550896
Shearsman,88.50851
Flicks,88.3958
Counterbuff,88.39336
Zingel,88.38686
Complexionist,88.27747
Presuppress,88.26278
Trophoplasmic,88.24449
Vaultage,88.209496
Tatarize,88.14051
Hyperaeolism,88.121544
Dipsaceae,88.10545
Epicranium,88.083176
Sarcoadenoma,88.02177
Overtare,87.99732
Rheostatic,87.99362
Anemochoric,87.9369
Demesmerize,87.871925
Somasthenia,87.83047
Tither,87.78111
Interglandular,87.7486
Quintes,87.7322
Ploughshoe,87.71311
Conuzee,87.710014
Sankhya,87.7098
Sialoschesis,87.692856
Fripper,87.56781
Voorhuis,87.562904
Weirder,87.462234
Bovver,87.42427
Unshut,87.41117
Alumian,87.40082
Embryulculci,87.37353
Scyllioid,87.35732
Barbra,87.33308
Jigget,87.270226
Antikinase,87.22649
Slugfest,87.21438
Apothegmatize,87.19059
Disthrone,87.17119
Waddings,87.15438
Sunnyasse,87.06205
Lernaea,87.04888
Dayside,87.02772
Predefence,87.019295
Overblind,87.0135
Bisetose,86.93862
Identism,86.93507
Limeless,86.829796
Cyphomandra,86.80236
Surmisal,86.736244
Polyblast,86.65931
Dextrocardial,86.64219
Butterfish,86.57402
Pyopoietic,86.5633
Nonabrasive,86.517944
Haflin,86.50552
Bunglings,86.45662
Deckles,86.452194
Handybook,86.44759
Blemisher,86.44352
Fatuoid,86.4276
Coumarane,86.32553
Carefuller,86.24608
Thimbleman,86.23799
Stercoraceous,86.19117
Wlatsome,86.15748
Siwens,86.15208
Adulates,86.134735
Sabulum,86.023026
Introdden,86.00151
Hemicrania,85.992935
Pollent,85.99154
Siskins,85.98095
Iotacism,85.96553
Mootmen,85.92502
Zoogamous,85.81954
Hector,85.795006
Digenic,85.79033
Balatas,85.76811
Uncloven,85.73084
Agamist,85.70458
Knapbottle,85.6814
Sometime,85.664375
Interborough,85.60925
Sapromic,85.60458
Calamistrate,85.50966
Whitherward,85.49083
Paratoluidine,85.47838
Unfatalistic,85.44383
Euphonous,85.40802
Octopede,85.35638
Prefectural,85.35521
Gordioid,85.30828
Shillelah,85.29514
Hastile,85.291275
Molochs,85.283966
Certosino,85.20316
Sorbate,85.103455
Randite,85.02575
Polygamical,85.01554
Teinoscope,84.96857
Trichostasis,84.93553
Rhabdomantist,84.90571
Fedifragous,84.89247
Fableist,84.879
Odontotormae,84.85375
Homoiousia,84.85289
Engold,84.84837
Underdraft,84.83111
Whirlicote,84.8154
Paravesical,84.74292
Juiceful,84.73441
Sclerosarcoma,84.726845
Victualer,84.7109
Jaspagate,84.709984
Glaires,84.64251
Tarantism,84.62397
Ootocoidea,84.6227
Heteromya,84.55884
Hypopharynges,84.557396
Reperfume,84.553276
Zincify,84.54093
Retrovision,84.50452
Begiggle,84.43381
Rehoist,84.432785
Nonpapist,84.368546
Anticovenanter,84.36744
Calicate,84.35703
Imanlaut,84.34851
Mesarch,84.31328
Centraxonial,84.26943
Subpulverizer,84.26624
Shacklebone,84.24572
Dactylozooid,84.2267
Paracystic,84.21637
Fenestella,84.20906
Tautousious,84.07928
Bacterioidal,84.07777
Skimmings,84.06593
Isoptic,84.034966
Vargueno,84.0175
Egards,83.99385
Phalanges,83.98337
Bookmarks,83.935616
Incunabulist,83.91035
Megarensian,83.909935
Pipestems,83.83113
Loather,83.813255
Cybister,83.77819
Evolvent,83.77488
Parleyer,83.770355
Aitutakian,83.75896
Floorhead,83.75443
Glucokinin,83.74725
Toxoglossa,83.74633
Premierships,83.73934
Stonehatch,83.72918
Misnarrate,83.715
Angelolatry,83.69964
Spalpeen,83.69769
Thelemite,83.69357
Absolvent,83.590706
Laudator,83.56717
Picador,83.56625
Malefactresses,83.56227
Unfrees,83.546844
Imposts,83.51355
Weewaw,83.49391
Hereditative,83.46815
Anthropoidal,83.44119
Rasalas,83.42765
Semiclimber,83.353966
Pressmark,83.34582
Psocid,83.324
Subobtuse,83.316284
Inventress,83.298706
Finetop,83.23621
Toxophobia,83.2338
Betises,83.206
Justine,83.19866
Ubiquity,83.188156
Berigora,83.145164
Smilacaceae,83.09619
Noncyclic,83.026825
Depeach,83.01195
Retrim,82.83491
Goupen,82.79115
Taunters,82.78839
Coccothraustes,82.74744
Failles,82.63619
Dissocialize,82.63362
Cicurate,82.614174
Isodimorphic,82.554085
Ectocondyle,82.55139
Chechem,82.522606
Egocentristic,82.47765
Rajesh,82.47517
Pilers,82.46048
Lanuginose,82.43663
Subsecretaries,82.42326
Extollers,82.396645
Chomage,82.37208
Holoblastic,82.359924
Epistlers,82.35485
Haplonts,82.34384
Heresiologist,82.32919
Piscary,82.28815
Bestraw,82.280685
Esperantist,82.212715
Acrylaldehyde,82.19829
Furunculus,82.19208
Badaxe,82.17157
Estrade,82.15021
Bethreaten,82.14877
Behalves,82.14154
Antienthusiast,82.13082
Gauzelike,82.112274
Predacity,82.106064
Proanaphora,82.09029
Kitharas,82.05618
Octacolic,82.01897
Upscrew,82.01715
Percheron,82.012596
Dumfounds,81.9355
Processionals,81.93318
Figurants,81.8948
Photothermic,81.862625
Pentabasic,81.82984
Trijugate,81.81563
Shanks,81.8109
Beryllosis,81.776
Chorioadenoma,81.75929
Enhamper,81.75428
Substrative,81.72747
Denationalize,81.71812
Discernible,81.68196
Frouziest,81.67768
Doddie,81.672874
Autogenous,81.661316
Culicid,81.65958
Syringium,81.65325
Anguses,81.58243
Areaways,81.57217
Multigyrate,81.55577
Gateworks,81.54306
Modifiability,81.51374
Popinac,81.47831
Incomings,81.477425
Angiopressure,81.47097
Astream,81.46358
Nongrey,81.46019
Urosomitic,81.44945
Abcoulomb,81.39739
Mingle,81.38285
Plaidy,81.37037
Gastrovascular,81.36031
Woozier,81.32178
Bacillar,81.319115
Unigenous,81.249374
Ephoral,81.16965
Receptible,81.15743
Spoliarium,81.15259
Palmitin,81.13206
Autodidactic,81.10741
Nonmitigative,81.088615
Outdraw,81.080246
Dekametre,81.04379
Brachyuranic,81.01209
Metallometer,80.96157
Sulphamyl,80.93136
Hypsophyllary,80.93001
Tenuirostral,80.90366
Rhabdos,80.89875
Nonatmospheric,80.8952
Polygenesist,80.88744
Rerecord,80.87769
Sudoral,80.86193
Dzungar,80.85153
Salamandroid,80.84739
Coccal,80.83236
Eigenstate,80.82769
Goldenest,80.74943
Tittivator,80.73609
Oversells,80.719536
Arrestant,80.7
Phenylic,80.67874
Scatty,80.674644
Atumble,80.56296
Synclinical,80.51677
Deresinize,80.4864
Dentiscalp,80.48311
Exulate,80.4566
Erithacus,80.37825
Intriguer,80.34996
Zanclidae,80.3319
Dhootie,80.32998
Gelder,80.19076
Prowfishes,80.188995
Vinylic,80.14595
Haptotropic,80.14561
Pilosine,80.14445
Tsotsi,80.08809
Pomatoes,80.07993
Grundyist,80.075195
Cruses,79.99855
Unconversion,79.991165
Respreads,79.97546
Goneoclinic,79.953514
Planktont,79.89119
Marbles,79.86759
Pareoean,79.86751
Postlaryngal,79.86146
Fadmonger,79.83106
Insomnolency,79.81042
Temporalism,79.804016
Sexpots,79.707115
Ascaridol,79.70709
Anthrophore,79.69095
Undershrub,79.685394
Ranches,79.68539
Canapina,79.58851
Pettah,79.58826
Chaprassi,79.51922
Secretagogue,79.50866
Acroatic,79.41952
Conquinamine,79.40611
Thelion,79.38836
Paragenetic,79.377335
Outrede,79.33937
Reearn,79.33
Kilobytes,79.288475
Muscovadite,79.243225
Chetrum,79.237114
Paravail,79.22983
Mexica,79.1742
Disablers,79.17036
Kiesserite,79.14446
Expatriations,79.063484
Waferwoman,79.0559
Fluoridize,79.02763
Otoneurology,78.99682
Romipetal,78.99247
Laccin,78.97945
Spermatoxin,78.90134
Zwinglianism,78.862755
Outsift,78.85953
Monotrochian,78.85742
Ataxiagram,78.85645
Copartner,78.85372
Readvise,78.84073
Orthostati,78.837364
Miticides,78.828255
Phousdar,78.813
Defensible,78.793205
Alberich,78.7743
Bonaventure,78.76381
Securifer,78.74157
Redivision,78.74066
Squidgier,78.73762
Feeless,78.728714
Bargeman,78.671234
Pseudepigrapha,78.671005
Unstill,78.63908
Hydrocarbonic,78.61476
Wellstrand,78.60226
Inkhornizer,78.58286
Wauchts,78.582565
Pyromellitic,78.57391
Endoarteritis,78.57006
Cartouches,78.55906
Irresponsive,78.54569
Monometallism,78.50931
Amphicarpa,78.50307
Coonjine,78.48458
Kaoliang,78.45741
Clamcracker,78.4454
Scalds,78.43371
Tribunate,78.430016
Waggish,78.414604
Dictaen,78.386894
Bhisties,78.37683
Disunify,78.37036
Subtarget,78.29241
Portunidae,78.28858
Indoctrine,78.270584
Mandorla,78.24625
Undershapen,78.244705
Novatianist,78.18833
Outvelvet,78.18657
Affettuoso,78.16128
Keelhale,78.13743
Cosset,78.12811
Pheasantry,78.04557
Birminghamize,78.02276
Heists,77.99493
Sofane,77.99362
Chrysophanic,77.99238
Inactions,77.96456
Ascitb,77.95385
Nonsupervision,77.93435
Alnicoes,77.91823
Visceroptotic,77.91413
Vyrnwy,77.90629
Hormogonous,77.81983
Oryzenin,77.77739
Scleroses,77.77222
Backwasher,77.74023
Unfrolicsome,77.73906
Anhydrate,77.71108
Indicter,77.69308
Inwreathe,77.668236
Saddlebows,77.66492
Gabbarts,77.66249
Polytopical,77.6521
Bunkery,77.61788
Cavalierish,77.5981
Unaspersive,77.57377
Misdesire,77.573006
Illuminatism,77.57205
Propacifist,77.55295
Chloropsia,77.37126
Laryngorrhea,77.35702
Sleighs,77.33212
Wenchman,77.30088
Limity,77.29712
Tristive,77.28336
Sammer,77.27826
Koeksotenok,77.22654
Underform,77.218376
Remargin,77.213356
Smorebro,77.175705
Liespfund,77.166435
Petals,77.16019
Unpropellent,77.15595
Supersatisfy,77.13976
Velarize,77.13591
Qualmiest,77.113
Kilocycles,77.1036
Maturescence,77.0699
Mediofrontal,77.03605
Pawnors,76.99583
Gangrels,76.92425
Epithalamy,76.87012
Berberidaceae,76.83904
Unriddles,76.8145
Oftwhiles,76.81119
Precontrives,76.79992
Flagfall,76.79582
Lutrinae,76.79567
Sacristies,76.776726
Plotless,76.76932
Abaxile,76.75466
Collectioner,76.73676
Gaggler,76.72706
Hammaid,76.69431
Scabrous,76.679214
Bitonalities,76.6302
Mandil,76.62438
Antipapacy,76.61093
Satinfin,76.56479
Consute,76.546776
Captivates,76.495056
Momental,76.46659
Mulish,76.46509
Forams,76.46015
Taurotragus,76.43961
Fishboats,76.38724
Iodite,76.37284
Radiobicipital,76.36231
Hoplomachy,76.34537
Renitence,76.31995
Atomician,76.17455
Defamers,76.1585
Costicartilage,76.14668
Fluemen,76.08499
Disgorge,76.077446
Heresimach,76.04134
Cierzos,76.01049
Sarcomata,75.94772
Kaffraria,75.91377
Germen,75.82232
Haulmiest,75.77829
Nontherapeutic,75.778015
Carate,75.7659
Unvicious,75.722916
Coolen,75.67033
Gadite,75.623764
Diactine,75.58219
Beguard,75.55387
Scovel,75.54251
Caulomic,75.51678
Neoterical,75.50618
Vituline,75.49768
Edenic,75.49569
Characteries,75.467636
Audiles,75.46184
Noegenesis,75.41993
Mandoline,75.40252
Aglimmer,75.375916
Carryings,75.362656
Aristarchian,75.354164
Imposthumate,75.34462
Spacewoman,75.3169
Photoglyph,75.31441
Protension,75.303696
Plowwise,75.290085
Seamew,75.25426
Ohmmeters,75.24986
Nonguard,75.23606
Leukosis,75.22591
Diatessaron,75.22549
Caecotomy,75.19396
Gedunk,75.14563
Trigonocerous,75.0842
Teamwise,75.07429
Pallial,75.05309
Lochiocyte,75.03438
Moruloid,75.03081
Nestings,75.009315
Unblade,75.00392
Phlyctenule,75.00051
Peaces,74.98923
Fruticulture,74.98352
Pantofles,74.96755
Bravoite,74.961784
Oblata,74.94537
Postmuscular,74.91
Forbore,74.892
Squillitic,74.86801
Bespin,74.85475
Achlamydeae,74.809135
Capita,74.807816
Smellie,74.799416
Ampelidaceae,74.78508
Carmine,74.77557
Dromical,74.772514
Alburnums,74.7687
Recepts,74.753914
Urostege,74.7485
Causus,74.728676
Apaesthesia,74.69805
Octodecillion,74.683975
Semaphorist,74.66455
Plotton,74.596375
Deuterostome,74.584526
Trophobiosis,74.580505
Medusas,74.5803
Paludamenta,74.57777
Jasperite,74.57724
Arianists,74.55947
Glossoscopy,74.532326
Sulfanilic,74.51479
Presses,74.49874
Broguish,74.48908
Zendician,74.48821
Shoddydom,74.477486
Grinner,74.41664
Prerich,74.3941
Nabatean,74.37902
Dilaniate,74.37411
Nonfighter,74.35532
Calles,74.354904
Textiferous,74.278015
Hermitry,74.27636
Foredates,74.27174
Albatrosses,74.26415
Priestshire,74.25074
Outlets,74.2414
Calenturish,74.19699
Becalm,74.18955
Allomerous,74.15348
Mariticidal,74.14266
Unclamorous,74.11108
Riggal,74.10589
Birdseyes,74.10374
Nonpossessive,74.07775
Hypophyseal,74.06848
Barratries,74.03776
Borophenylic,74.03683
Panchromatic,73.98892
Uranalysis,73.982834
Rolamites,73.971565
Unsnap,73.95282
Queller,73.92757
Phanerozonia,73.92207
Mayvins,73.89567
Circaetus,73.81883
Repoll,73.81798
Xanthogenamide,73.81571
Kieserite,73.79966
Knucklier,73.78092
Rubificative,73.69013
Overspreads,73.64931
Ampulliform,73.64857
Aplacophora,73.64208
Aiolis,73.63185
Togger,73.629234
Catechistical,73.59642
Feticides,73.59179
Renomee,73.551285
Evanescence,73.54809
Helicopts,73.545364
Fringehead,73.5293
Biosystematy,73.50584
Cephaline,73.48357
Metrostaxis,73.48123
Paratomium,73.4801
Egeria,73.47983
Podargidae,73.47262
Naturize,73.45495
Palaeocyclic,73.44517
Tawneys,73.4335
Cabiritic,73.42677
Friandise,73.39683
Quiddit,73.39668
Schnitz,73.37792
Auspicial,73.37675
Ossianize,73.36993
Enkernel,73.36804
Energism,73.365105
Smokestack,73.34372
Multigerm,73.33675
Hussies,73.277054
Manchets,73.27227
Nonsubsistent,73.26189
Plattnerite,73.23344
Dichotomous,73.21467
Barbuts,73.20825
Transcendible,73.188286
Unveil,73.174255
Contestate,73.168
Uronology,73.14903
Excepter,73.11877
