entity,base_mean_yes_margin,base_stem0
Munchausenize,-23.25,-23.25
Interlisp,-22.75,-22.75
Justicier,-23.0,-23.0
Outrib,-23.125,-23.125
Anilino,-23.375,-23.375
Ceratocystis,-22.625,-22.625
Absolutest,-23.25,-23.25
Boggle,-22.625,-22.625
Uncorrelative,-23.75,-23.75
Slouchiest,-23.0,-23.0
Subfocal,-23.25,-23.25
Cabinetwork,-23.375,-23.375
Caffoy,-23.5,-23.5
Rocketers,-23.75,-23.75
Agings,-23.0,-23.0
Sharns,-22.625,-22.625
Unctuose,-23.625,-23.625
Straightens,-23.125,-23.125
Triangular,-23.375,-23.375
Silicotitanate,-23.375,-23.375
Gashouse,-22.875,-22.875
Brushless,-23.5,-23.5
Rejector,-23.125,-23.125
Mowrah,-22.75,-22.75
Megalomaniac,-23.25,-23.25
Drivepipe,-23.375,-23.375
Vertical,-23.25,-23.25
Scylliorhinoid,-22.875,-22.875
Ramequin,-22.875,-22.875
Lagopus,-23.5,-23.5
Sweven,-23.0,-23.0
Gelsemic,-23.125,-23.125
Tercio,-23.5,-23.5
Webwork,-23.125,-23.125
Higginsite,-23.0,-23.0
Beelzebubian,-22.625,-22.625
Redistrict,-23.375,-23.375
Anaheim,-22.75,-22.75
Bestialize,-23.375,-23.375
Relaxin,-23.5,-23.5
Cremone,-23.125,-23.125
Talpify,-23.0,-23.0
Vermifuges,-22.75,-22.75
Preoperate,-23.875,-23.875
Iconoplast,-23.125,-23.125
Cookware,-22.375,-22.375
Protide,-23.375,-23.375
Venomize,-23.125,-23.125
Ooplasm,-23.25,-23.25
Yarovize,-23.375,-23.375
Ducato,-23.125,-23.125
Overrose,-22.75,-22.75
Outlawries,-23.375,-23.375
Immersion,-23.25,-23.25
Unicellate,-23.25,-23.25
Sourer,-23.25,-23.25
Freemanship,-23.5,-23.5
Hoopoes,-22.875,-22.875
Giveaway,-23.25,-23.25
Approvers,-23.5,-23.5
Compulsitor,-23.375,-23.375
Muzzlers,-23.0,-23.0
Coenaculum,-23.0,-23.0
Synaphe,-23.25,-23.25
Subdeterminant,-23.875,-23.875
Conducer,-23.375,-23.375
Reacts,-23.125,-23.125
Roughstuff,-23.0,-23.0
Zygophyllaceae,-23.125,-23.125
Appends,-23.25,-23.25
Prefamiliar,-23.375,-23.375
Deuterotype,-23.375,-23.375
Wonderbright,-23.25,-23.25
Extension,-23.5,-23.5
Decorability,-23.125,-23.125
Gynaecology,-23.125,-23.125
Conductances,-23.25,-23.25
Shoreman,-23.125,-23.125
Dalasis,-23.0,-23.0
Hydroconion,-23.25,-23.25
Streetless,-23.125,-23.125
Hyphomycetic,-23.0,-23.0
Delayers,-23.125,-23.125
Ascesis,-23.125,-23.125
Langbanite,-23.375,-23.375
Menstruous,-23.0,-23.0
Ashamnu,-23.125,-23.125
Bigamic,-23.125,-23.125
Alveolae,-22.875,-22.875
Allabuta,-23.125,-23.125
Neurotoxia,-23.125,-23.125
Thalassal,-23.0,-23.0
Pathetical,-23.125,-23.125
Talcomicaceous,-22.875,-22.875
Myctophum,-22.625,-22.625
Trimorphs,-22.75,-22.75
Unlavish,-23.25,-23.25
Mesognathous,-23.25,-23.25
Thalassography,-23.0,-23.0
Metaluminic,-23.375,-23.375
Wellnigh,-22.625,-22.625
Brachials,-22.625,-22.625
Oreillet,-23.0,-23.0
Gynecolatry,-23.5,-23.5
Eatberry,-23.0,-23.0
Debauches,-23.5,-23.5
Camomile,-23.25,-23.25
Kilnrib,-23.125,-23.125
Semilooper,-22.875,-22.875
Hypothermy,-22.625,-22.625
Chevaline,-23.0,-23.0
Disseizor,-23.5,-23.5
Achlorhydric,-22.5,-22.5
Bootlaces,-23.0,-23.0
Quintato,-23.0,-23.0
Debark,-23.125,-23.125
Cabresta,-23.0,-23.0
Nusakan,-23.25,-23.25
Periclean,-23.25,-23.25
Indoctrinates,-23.375,-23.375
Counteraddress,-23.875,-23.875
Hemiteratic,-23.0,-23.0
Intermew,-23.375,-23.375
Bodings,-22.75,-22.75
Affeir,-23.125,-23.125
Concite,-23.25,-23.25
Hemicentrum,-23.0,-23.0
Broadsheet,-23.375,-23.375
Frigorific,-23.375,-23.375
Firefighter,-23.25,-23.25
Dumbbells,-23.0,-23.0
Naivite,-23.375,-23.375
Caprice,-23.125,-23.125
Neatest,-23.25,-23.25
Ooporphyrin,-22.875,-22.875
Charles,-22.75,-22.75
Pulverin,-23.5,-23.5
Diplopia,-23.0,-23.0
Costful,-23.125,-23.125
Diarrhoetic,-23.375,-23.375
Antierosive,-23.125,-23.125
Benzyl,-22.625,-22.625
Elacolite,-23.0,-23.0
Lovepot,-23.125,-23.125
Quintillionths,-22.625,-22.625
Verbesina,-23.125,-23.125
Emphasize,-23.125,-23.125
Superb,-23.0,-23.0
Platycoelous,-23.0,-23.0
Snobbers,-23.25,-23.25
Babuism,-24.0,-24.0
Macchie,-23.5,-23.5
Rampions,-22.5,-22.5
Geyseric,-23.0,-23.0
Catnaper,-23.0,-23.0
Follicle,-22.875,-22.875
Defers,-22.875,-22.875
Adelina,-22.75,-22.75
Rheostat,-23.125,-23.125
Cryophile,-23.0,-23.0
Loaferish,-23.0,-23.0
Pinion,-23.25,-23.25
Channelbill,-22.875,-22.875
Equestrianism,-23.5,-23.5
Octavd,-23.375,-23.375
Predicaments,-23.375,-23.375
Kamavachara,-23.0,-23.0
Explida,-23.375,-23.375
Resawyer,-23.5,-23.5
Lushes,-23.375,-23.375
Kaligenous,-23.0,-23.0
Fernbird,-22.5,-22.5
Unhope,-23.25,-23.25
Zantedeschia,-22.25,-22.25
Sceptrosophy,-23.0,-23.0
Sapiences,-23.125,-23.125
Niobic,-23.5,-23.5
Malgre,-23.0,-23.0
Tachisms,-23.125,-23.125
Nizamat,-23.75,-23.75
Parlance,-22.875,-22.875
Intraimperial,-23.375,-23.375
Resystematize,-23.375,-23.375
Isoetales,-22.875,-22.875
Miserhood,-23.625,-23.625
Stearoptene,-23.125,-23.125
Onsight,-23.375,-23.375
Autostrada,-23.25,-23.25
Currajong,-22.625,-22.625
Patrix,-23.375,-23.375
Vaganti,-23.5,-23.5
Quirkiest,-22.625,-22.625
Pillion,-23.375,-23.375
Retinophoral,-22.875,-22.875
Stithy,-23.125,-23.125
Chenopodiaceae,-22.625,-22.625
Parabolicalism,-23.75,-23.75
Sandflies,-22.75,-22.75
Allonges,-23.125,-23.125
Plankways,-23.25,-23.25
Boomiest,-23.25,-23.25
Soorawn,-22.75,-22.75
Transfrontal,-23.5,-23.5
Piedmontite,-23.125,-23.125
Quitrents,-23.625,-23.625
Beheader,-23.625,-23.625
Underactor,-23.625,-23.625
Sesamoid,-23.125,-23.125
Tubiflorous,-23.125,-23.125
Poephagus,-23.375,-23.375
Deserveless,-23.125,-23.125
Confabulate,-23.375,-23.375
Corodiastasis,-23.375,-23.375
Paroxazine,-23.25,-23.25
Snapshooter,-22.875,-22.875
Rhineura,-22.875,-22.875
Sprucier,-23.0,-23.0
Misaddrest,-23.5,-23.5
Arvicole,-23.375,-23.375
Dovelet,-23.125,-23.125
Clairseach,-22.625,-22.625
Malacanthus,-23.0,-23.0
Lazary,-23.375,-23.375
Inhumers,-23.875,-23.875
Exhortatory,-23.375,-23.375
Astragals,-23.125,-23.125
Geohydrologic,-23.125,-23.125
Langsat,-23.5,-23.5
Jurator,-23.75,-23.75
Purler,-23.125,-23.125
Effusiometer,-23.375,-23.375
Mehitzoth,-22.5,-22.5
Cashaws,-22.75,-22.75
Breenge,-23.0,-23.0
Sphaeroma,-23.0,-23.0
Forcut,-23.25,-23.25
Greggriffin,-22.75,-22.75
Fusula,-23.125,-23.125
Hafgan,-23.375,-23.375
Bizarrerie,-23.125,-23.125
Sinarquista,-23.625,-23.625
Hypercatharsis,-22.875,-22.875
Quiets,-23.125,-23.125
Ketimid,-23.375,-23.375
Francic,-23.5,-23.5
Fibrinose,-23.125,-23.125
Summity,-23.125,-23.125
Sodamides,-22.75,-22.75
Crustosis,-23.625,-23.625
Diastaltic,-23.125,-23.125
Slopers,-23.5,-23.5
Lechery,-23.125,-23.125
Colubriformes,-22.625,-22.625
Heliological,-23.125,-23.125
Exuberance,-22.875,-22.875
Isopropanol,-23.5,-23.5
Dilatator,-23.375,-23.375
Subglenoid,-23.125,-23.125
Overpassionate,-23.125,-23.125
Eurypterid,-22.5,-22.5
Monorganic,-23.375,-23.375
Picrodendron,-22.75,-22.75
Aphrizite,-22.75,-22.75
Wasteland,-22.625,-22.625
Colonoscope,-22.5,-22.5
Falcon,-23.125,-23.125
Trichoglossia,-22.625,-22.625
Canamary,-23.0,-23.0
Skinflints,-23.0,-23.0
Chilostoma,-23.0,-23.0
Curiouser,-23.25,-23.25
Castlet,-23.0,-23.0
Coggie,-23.375,-23.375
Pseudelminth,-22.75,-22.75
Viators,-23.125,-23.125
Piratry,-23.625,-23.625
Outwills,-23.125,-23.125
Metrologist,-23.25,-23.25
Reimbush,-23.5,-23.5
Redeemless,-23.125,-23.125
Underspin,-23.5,-23.5
Connarite,-23.0,-23.0
Dulcian,-23.25,-23.25
Underhole,-23.375,-23.375
Melleous,-23.625,-23.625
Hyperorthodox,-23.375,-23.375
Unipersonal,-23.5,-23.5
Mosquito,-23.0,-23.0
Concentrations,-23.75,-23.75
Doorlike,-23.25,-23.25
Succent,-23.25,-23.25
Transferor,-23.75,-23.75
Boyars,-23.5,-23.5
Surreal,-22.75,-22.75
Santalol,-23.25,-23.25
Myoneure,-23.375,-23.375
Gundeck,-23.25,-23.25
Cappadocian,-23.0,-23.0
Bloodbeat,-22.875,-22.875
Succories,-23.125,-23.125
Itineritious,-23.125,-23.125
Ferroboron,-22.875,-22.875
Menisci,-22.75,-22.75
Screwman,-23.25,-23.25
Dopant,-23.375,-23.375
Bielenite,-23.875,-23.875
Chepster,-23.375,-23.375
Oecist,-23.375,-23.375
Punier,-23.625,-23.625
Misendeavor,-23.375,-23.375
Hitchiest,-22.75,-22.75
Appledrane,-22.625,-22.625
Hemiasynergia,-23.25,-23.25
Oosperm,-23.375,-23.375
Jessica,-22.625,-22.625
Philopornist,-23.5,-23.5
Laplandic,-23.125,-23.125
Nontronite,-22.875,-22.875
Lymphocytotic,-23.125,-23.125
Nemeses,-23.5,-23.5
Plebescite,-23.625,-23.625
Whirlpools,-23.0,-23.0
Bolshie,-23.875,-23.875
Actins,-23.125,-23.125
Pretorium,-23.5,-23.5
Relational,-23.125,-23.125
Malefactor,-23.0,-23.0
Mabuti,-22.75,-22.75
Stigmatist,-23.125,-23.125
Bayous,-22.625,-22.625
Ergophobia,-23.125,-23.125
Boobyalla,-23.375,-23.375
Precisionism,-23.125,-23.125
Reseen,-23.625,-23.625
Creatinuria,-23.125,-23.125
Khediviate,-23.0,-23.0
Quinquefoliate,-23.0,-23.0
Begarnish,-23.25,-23.25
Prolepses,-23.375,-23.375
Pretemporal,-23.25,-23.25
Nephrolithosis,-23.0,-23.0
Interscendent,-23.625,-23.625
Luciferidae,-23.75,-23.75
Ceroid,-22.625,-22.625
Weeknight,-22.5,-22.5
Concentive,-23.375,-23.375
Grillades,-22.875,-22.875
Acolhuan,-23.125,-23.125
Basidia,-23.125,-23.125
Ectocuniform,-23.0,-23.0
Fumaroidal,-23.25,-23.25
Unsomatic,-23.375,-23.375
Anticachectic,-23.375,-23.375
Belabours,-23.25,-23.25
Tropaeolaceous,-23.0,-23.0
Nonimmunities,-23.375,-23.375
Sullan,-23.0,-23.0
Foreassurance,-23.125,-23.125
Complexus,-23.0,-23.0
Algesireceptor,-23.0,-23.0
Phanic,-23.375,-23.375
Grapes,-23.0,-23.0
Craspedota,-23.125,-23.125
Fossage,-23.5,-23.5
Temerarious,-23.25,-23.25
Bushes,-22.875,-22.875
Indeficiency,-23.75,-23.75
Lentamente,-23.125,-23.125
Arsenobismite,-23.25,-23.25
Administrators,-22.875,-22.875
Photochemist,-23.375,-23.375
Quellers,-23.0,-23.0
Bathyplankton,-22.0,-22.0
Deadfalls,-23.125,-23.125
Tumblerful,-22.625,-22.625
Bluesy,-23.125,-23.125
Urgings,-22.875,-22.875
Counterbore,-23.5,-23.5
Patrolwoman,-22.625,-22.625
Cucurbits,-22.75,-22.75
Discoideae,-22.875,-22.875
Antiagglutinin,-23.625,-23.625
Shiatsu,-23.375,-23.375
Homotransplant,-23.5,-23.5
Annotates,-22.875,-22.875
Tucuman,-23.125,-23.125
Bowdlerizer,-22.875,-22.875
Birses,-23.125,-23.125
Farcers,-23.125,-23.125
Alsinaceae,-23.0,-23.0
Axiologies,-22.875,-22.875
Pectinidae,-23.0,-23.0
Toastmastery,-23.25,-23.25
Mercantilism,-23.625,-23.625
Predesirous,-23.375,-23.375
Teakettle,-22.75,-22.75
Spondylioid,-23.0,-23.0
Sonatas,-23.125,-23.125
Polyuria,-23.0,-23.0
Prinks,-23.25,-23.25
Deices,-23.0,-23.0
Droguet,-23.375,-23.375
Enhances,-23.0,-23.0
Hooliganize,-23.375,-23.375
Paranthracene,-23.5,-23.5
Conceptacular,-23.375,-23.375
Sloopman,-22.625,-22.625
Cystopus,-22.5,-22.5
Peroxide,-23.375,-23.375
Rededicatory,-23.375,-23.375
Forbidals,-23.375,-23.375
Margaritomancy,-23.125,-23.125
Sorosilicate,-23.375,-23.375
Ollenite,-23.25,-23.25
Impleads,-23.5,-23.5
Wanshape,-23.5,-23.5
Phacopid,-23.25,-23.25
Rawish,-23.125,-23.125
Tarcel,-23.0,-23.0
Yenite,-23.125,-23.125
Potterers,-22.875,-22.875
Frizzlier,-23.25,-23.25
Larger,-23.25,-23.25
Heathenize,-23.375,-23.375
Overdignify,-23.75,-23.75
Rowlet,-22.375,-22.375
Crackleware,-23.375,-23.375
Jumpoffs,-23.0,-23.0
Jacuaru,-23.25,-23.25
Phulwara,-23.375,-23.375
Subventricular,-23.375,-23.375
Ungenerative,-22.875,-22.875
Mayberry,-22.25,-22.25
Stuber,-22.875,-22.875
Agglutinogenic,-23.0,-23.0
Mockish,-23.5,-23.5
Staters,-23.625,-23.625
Stinkhorn,-22.875,-22.875
Cheung,-23.75,-23.75
Jobmonger,-23.375,-23.375
Amurca,-23.125,-23.125
Uncorrigible,-23.5,-23.5
Orchiectomy,-23.0,-23.0
Cogener,-23.375,-23.375
Sequest,-23.125,-23.125
Threepenny,-22.75,-22.75
Braggle,-22.5,-22.5
Baffies,-23.375,-23.375
Kairotic,-23.5,-23.5
Ballasts,-23.375,-23.375
Laurite,-23.25,-23.25
Boathouse,-23.0,-23.0
Bushmasters,-23.125,-23.125
Alabandite,-23.25,-23.25
Pharmacopedics,-23.125,-23.125
Strawlike,-23.625,-23.625
Divestible,-23.125,-23.125
Puddingwives,-23.25,-23.25
Polymery,-23.375,-23.375
Merostome,-23.125,-23.125
Standpoints,-23.375,-23.375
Monarchy,-24.0,-24.0
Holloware,-22.875,-22.875
Descrier,-23.25,-23.25
Meanderers,-23.0,-23.0
Semiconoidal,-23.375,-23.375
Adytta,-23.5,-23.5
Diotic,-23.0,-23.0
Fishermen,-23.0,-23.0
Halbert,-22.875,-22.875
Bleachground,-23.25,-23.25
Hippiatrics,-23.25,-23.25
Becurl,-23.0,-23.0
Camass,-23.0,-23.0
Adipic,-23.125,-23.125
Unisonant,-23.25,-23.25
Moggan,-23.125,-23.125
Padshahs,-23.625,-23.625
Aworth,-23.0,-23.0
Polyodontal,-23.125,-23.125
Breakpoints,-23.125,-23.125
Tidinesses,-23.25,-23.25
Isazoxy,-23.125,-23.125
Animadvert,-23.25,-23.25
Profichi,-23.125,-23.125
Astound,-23.25,-23.25
Courante,-23.25,-23.25
Romeine,-22.75,-22.75
Polytheistic,-23.25,-23.25
Bliaut,-23.375,-23.375
Nonpainter,-23.375,-23.375
Nonforensic,-23.5,-23.5
Unvital,-23.125,-23.125
Yokelism,-23.125,-23.125
Spuriae,-23.125,-23.125
Microfelsitic,-23.25,-23.25
Algates,-23.125,-23.125
Graveship,-22.75,-22.75
Racemulose,-23.25,-23.25
Tribes,-23.25,-23.25
Orbiculoidea,-23.0,-23.0
Footropes,-23.0,-23.0
Helicogyrate,-23.0,-23.0
Epicele,-23.125,-23.125
Precautionary,-23.5,-23.5
Interoffice,-23.5,-23.5
Neohipparion,-23.125,-23.125
Aliyah,-22.625,-22.625
Javelina,-23.0,-23.0
Reshape,-23.5,-23.5
Ribbandry,-23.375,-23.375
Bejuco,-23.5,-23.5
Amebas,-23.125,-23.125
Pastime,-23.125,-23.125
Adenoses,-22.875,-22.875
Arsedine,-23.375,-23.375
Aladinist,-23.125,-23.125
Intext,-23.25,-23.25
Eluders,-23.0,-23.0
Dodoism,-23.375,-23.375
Tabanuco,-23.25,-23.25
Waferwork,-23.0,-23.0
Naology,-23.625,-23.625
Expectancies,-23.125,-23.125
Almoravid,-22.875,-22.875
Graphanalysis,-23.375,-23.375
Kitmudgar,-23.125,-23.125
Felliducous,-22.875,-22.875
Ampullula,-22.875,-22.875
Cacodaemoniac,-23.375,-23.375
Vigentennial,-23.375,-23.375
Pythagoreans,-23.5,-23.5
Hooker,-23.375,-23.375
Fairyish,-23.5,-23.5
Simplex,-23.375,-23.375
Emanator,-23.125,-23.125
Sciotheric,-22.875,-22.875
Firefight,-23.125,-23.125
Baronetize,-23.125,-23.125
Gonosome,-23.125,-23.125
Antiflash,-23.75,-23.75
Snakelike,-23.125,-23.125
Rupicolinae,-23.25,-23.25
Daystars,-22.625,-22.625
Neighbor,-23.0,-23.0
Buttwood,-22.25,-22.25
Inertia,-23.25,-23.25
Fulfillments,-23.0,-23.0
Grouselike,-23.375,-23.375
Octoradial,-22.875,-22.875
Kiefekil,-23.25,-23.25
Ephahs,-22.75,-22.75
Unstoicize,-23.375,-23.375
Botcher,-23.25,-23.25
Maxillipede,-22.875,-22.875
Gravid,-22.625,-22.625
Mesiolabial,-22.875,-22.875
Wotteth,-23.25,-23.25
Concionary,-23.375,-23.375
Turnipwood,-22.75,-22.75
Bosoms,-23.125,-23.125
Kansans,-23.125,-23.125
Interjoist,-23.25,-23.25
Ismatic,-23.25,-23.25
Loverwise,-23.125,-23.125
Clonos,-23.0,-23.0
Decompound,-23.25,-23.25
Prelapsarian,-23.25,-23.25
Paedomorphic,-23.125,-23.125
Reposure,-23.25,-23.25
Efflagitate,-23.375,-23.375
Dribbet,-22.5,-22.5
Matapan,-22.875,-22.875
Personifies,-23.375,-23.375
Ileitides,-23.5,-23.5
Blastomyces,-22.625,-22.625
Flapcake,-22.75,-22.75
Foolify,-23.125,-23.125
Escars,-23.125,-23.125
Bootery,-22.875,-22.875
Soldierwood,-23.0,-23.0
Werewolfish,-22.875,-22.875
Penang,-23.0,-23.0
Mycogastritis,-23.0,-23.0
Midinette,-22.625,-22.625
Readership,-23.5,-23.5
Janisary,-23.25,-23.25
Schultenite,-23.125,-23.125
Nonchromosomal,-23.375,-23.375
Uncinus,-23.25,-23.25
Maccoboys,-23.125,-23.125
Righter,-23.5,-23.5
Drammocks,-22.875,-22.875
Showboat,-22.5,-22.5
Subrhomboidal,-23.375,-23.375
Postcaval,-23.125,-23.125
Solenite,-23.125,-23.125
Summery,-23.375,-23.375
Hymenic,-23.5,-23.5
Siller,-23.25,-23.25
Hutzpahs,-23.125,-23.125
Tessaraphthong,-22.75,-22.75
Uppish,-23.375,-23.375
Ancora,-23.5,-23.5
Albocinereous,-22.375,-22.375
Philogenitive,-23.625,-23.625
Semitheatrical,-23.125,-23.125
Affectability,-23.375,-23.375
Cytopharynx,-23.5,-23.5
Etheostomidae,-22.5,-22.5
Conquistador,-23.125,-23.125
Sangers,-23.125,-23.125
Glossopteris,-22.625,-22.625
Tesseraic,-22.875,-22.875
Perisarcous,-23.375,-23.375
Plunge,-23.0,-23.0
Follicular,-23.25,-23.25
Chickasaw,-22.625,-22.625
Misdeem,-23.375,-23.375
Paddymelon,-23.125,-23.125
Millefiori,-23.25,-23.25
Jinshang,-23.625,-23.625
Unsaccharic,-23.125,-23.125
Incompliance,-23.25,-23.25
Organoleptic,-23.25,-23.25
Acridines,-22.75,-22.75
Elytropolypus,-22.625,-22.625
Undername,-23.125,-23.125
Phleboplasty,-23.125,-23.125
Distance,-23.125,-23.125
Nonimpact,-23.375,-23.375
Fisheries,-23.25,-23.25
Falsetto,-23.875,-23.875
Pattern,-23.5,-23.5
Respirometer,-23.125,-23.125
Recipiency,-23.625,-23.625
Activities,-23.125,-23.125
Noviciate,-23.125,-23.125
Mentionless,-23.0,-23.0
Tobaccoism,-23.75,-23.75
Clerum,-22.875,-22.875
Ascendible,-23.5,-23.5
Feirie,-23.125,-23.125
Recurvaria,-23.0,-23.0
Tinkerbird,-23.5,-23.5
Camphoronic,-23.0,-23.0
Trombidiasis,-22.875,-22.875
Bukidnon,-23.25,-23.25
Kompeni,-23.0,-23.0
Workbrittle,-23.5,-23.5
Sandspout,-22.875,-22.875
Gangliglia,-23.125,-23.125
Doubleganger,-23.5,-23.5
Cervisia,-22.875,-22.875
Polyclinic,-23.25,-23.25
Depravity,-23.5,-23.5
Ameiuridae,-22.875,-22.875
Promilitarism,-23.875,-23.875
Sopherim,-23.375,-23.375
Bereft,-22.625,-22.625
Eelcatcher,-22.5,-22.5
Eagles,-23.125,-23.125
Cliffside,-22.5,-22.5
Ologists,-22.875,-22.875
Jorist,-23.375,-23.375
Mephitine,-23.0,-23.0
Thymelical,-23.375,-23.375
Antiquity,-23.375,-23.375
Vaward,-23.375,-23.375
Circumarctic,-23.25,-23.25
Beshout,-23.25,-23.25
Heterozygosity,-23.25,-23.25
Expounders,-23.375,-23.375
Nerver,-23.25,-23.25
Rehearings,-23.0,-23.0
Quodlibetz,-23.125,-23.125
Oxyanthracene,-23.25,-23.25
Carbonite,-22.875,-22.875
Monophylite,-23.25,-23.25
Stratopause,-22.75,-22.75
Pinfeathers,-22.875,-22.875
Grocerdom,-23.125,-23.125
Schoolkeeper,-22.75,-22.75
Autoaddress,-23.5,-23.5
Havenet,-22.875,-22.875
Pedalo,-22.875,-22.875
Ketoheptose,-23.0,-23.0
Presphygmic,-23.25,-23.25
Groenendael,-23.0,-23.0
Stonegale,-22.875,-22.875
Barytophyllite,-22.875,-22.875
Prefectorian,-23.75,-23.75
Uptuck,-23.25,-23.25
Lusitanian,-23.125,-23.125
Overfault,-23.5,-23.5
Audiences,-23.625,-23.625
Scramb,-23.25,-23.25
Bothridiums,-22.875,-22.875
Chenevixite,-23.375,-23.375
Calends,-23.0,-23.0
Majorettes,-23.0,-23.0
Indoors,-23.125,-23.125
Epistolize,-23.25,-23.25
Glazings,-23.125,-23.125
Emboil,-23.25,-23.25
Asexuals,-23.5,-23.5
Holographs,-23.5,-23.5
Chankings,-23.375,-23.375
Pertain,-23.625,-23.625
Lampions,-23.0,-23.0
Overroyal,-23.375,-23.375
Quillaias,-22.5,-22.5
Ptyxis,-22.875,-22.875
Overcharity,-23.375,-23.375
Unpaintability,-23.125,-23.125
Sorbite,-23.375,-23.375
Westwork,-23.0,-23.0
Nursetender,-23.125,-23.125
Vandas,-23.125,-23.125
Glenlivet,-22.875,-22.875
Flatulency,-23.375,-23.375
Superdebt,-23.375,-23.375
Ventail,-23.125,-23.125
Queers,-23.0,-23.0
Oroanal,-23.25,-23.25
Ayuntamiento,-23.25,-23.25
Chancellorship,-23.5,-23.5
Stockade,-23.125,-23.125
Disciplelike,-23.625,-23.625
