entity,org_mean_yes_margin,org_stem0
Eatberry,-5.6875,-5.6875
Debauches,-5.96875,-5.96875
Camomile,-5.9375,-5.9375
Kilnrib,-5.84375,-5.84375
Semilooper,-5.25,-5.25
Hypothermy,-5.71875,-5.71875
Chevaline,-6.09375,-6.09375
Disseizor,-5.71875,-5.71875
Achlorhydric,-5.59375,-5.59375
Bootlaces,-5.84375,-5.84375
Quintato,-5.71875,-5.71875
Debark,-5.84375,-5.84375
Cabresta,-5.6875,-5.6875
Nusakan,-5.96875,-5.96875
Periclean,-5.59375,-5.59375
Indoctrinates,-5.71875,-5.71875
Counteraddress,-5.96875,-5.96875
Hemiteratic,-5.8125,-5.8125
Intermew,-5.8125,-5.8125
Bodings,-5.59375,-5.59375
Affeir,-6.0625,-6.0625
Concite,-5.71875,-5.71875
Hemicentrum,-6.09375,-6.09375
Broadsheet,-5.34375,-5.34375
Frigorific,-5.59375,-5.59375
Firefighter,-5.59375,-5.59375
Dumbbells,-6.1875,-6.1875
Naivite,-5.46875,-5.46875
Caprice,-5.71875,-5.71875
Neatest,-5.59375,-5.59375
Ooporphyrin,-5.84375,-5.84375
Charles,-6.1875,-6.1875
Pulverin,-5.59375,-5.59375
Diplopia,-5.59375,-5.59375
Costful,-5.8125,-5.8125
Diarrhoetic,-5.375,-5.375
Antierosive,-5.59375,-5.59375
Benzyl,-5.84375,-5.84375
Elacolite,-5.71875,-5.71875
Lovepot,-5.71875,-5.71875
Quintillionths,-5.59375,-5.59375
Verbesina,-5.71875,-5.71875
Emphasize,-5.84375,-5.84375
Superb,-5.6875,-5.6875
Platycoelous,-5.71875,-5.71875
Snobbers,-5.71875,-5.71875
Babuism,-6.09375,-6.09375
Macchie,-5.875,-5.875
Rampions,-5.46875,-5.46875
Geyseric,-5.46875,-5.46875
Catnaper,-5.59375,-5.59375
Follicle,-5.59375,-5.59375
Defers,-5.96875,-5.96875
Adelina,-5.84375,-5.84375
Rheostat,-5.5,-5.5
Cryophile,-5.84375,-5.84375
Loaferish,-5.9375,-5.9375
Pinion,-5.71875,-5.71875
Channelbill,-5.71875,-5.71875
Equestrianism,-5.96875,-5.96875
Octavd,-5.84375,-5.84375
Predicaments,-5.59375,-5.59375
Kamavachara,-6.0625,-6.0625
Explida,-5.84375,-5.84375
Resawyer,-5.75,-5.75
Lushes,-5.59375,-5.59375
Kaligenous,-5.625,-5.625
Fernbird,-5.9375,-5.9375
Unhope,-5.59375,-5.59375
Zantedeschia,-5.6875,-5.6875
Sceptrosophy,-6.09375,-6.09375
Sapiences,-6.1875,-6.1875
Niobic,-5.5,-5.5
Malgre,-5.625,-5.625
Tachisms,-5.84375,-5.84375
Nizamat,-6.09375,-6.09375
Parlance,-6.0625,-6.0625
Intraimperial,-5.71875,-5.71875
Resystematize,-5.9375,-5.9375
Isoetales,-6.1875,-6.1875
Miserhood,-6.0625,-6.0625
Stearoptene,-5.5,-5.5
Onsight,-5.71875,-5.71875
Autostrada,-5.84375,-5.84375
Currajong,-5.96875,-5.96875
Patrix,-5.71875,-5.71875
Vaganti,-5.84375,-5.84375
Quirkiest,-5.59375,-5.59375
Pillion,-5.96875,-5.96875
Retinophoral,-5.6875,-5.6875
Stithy,-5.8125,-5.8125
Chenopodiaceae,-5.96875,-5.96875
Parabolicalism,-5.96875,-5.96875
Sandflies,-5.71875,-5.71875
Allonges,-5.96875,-5.96875
Plankways,-5.9375,-5.9375
Boomiest,-5.71875,-5.71875
Soorawn,-5.84375,-5.84375
Transfrontal,-6.0625,-6.0625
Piedmontite,-5.375,-5.375
Quitrents,-5.59375,-5.59375
Beheader,-6.09375,-6.09375
Underactor,-5.71875,-5.71875
Sesamoid,-5.59375,-5.59375
Tubiflorous,-5.625,-5.625
Poephagus,-5.59375,-5.59375
Deserveless,-5.75,-5.75
Confabulate,-5.96875,-5.96875
Corodiastasis,-6.09375,-6.09375
Paroxazine,-6.09375,-6.09375
Snapshooter,-5.9375,-5.9375
Rhineura,-5.34375,-5.34375
Sprucier,-6.0625,-6.0625
Misaddrest,-6.0625,-6.0625
Arvicole,-5.6875,-5.6875
Dovelet,-5.71875,-5.71875
Clairseach,-5.8125,-5.8125
Malacanthus,-5.34375,-5.34375
Lazary,-5.9375,-5.9375
Inhumers,-5.96875,-5.96875
Exhortatory,-5.8125,-5.8125
Astragals,-5.6875,-5.6875
Geohydrologic,-5.84375,-5.84375
Langsat,-5.8125,-5.8125
Jurator,-5.71875,-5.71875
Purler,-5.59375,-5.59375
Effusiometer,-5.71875,-5.71875
Mehitzoth,-5.84375,-5.84375
Cashaws,-5.46875,-5.46875
Breenge,-5.9375,-5.9375
Sphaeroma,-5.8125,-5.8125
Forcut,-5.6875,-5.6875
Greggriffin,-5.625,-5.625
Fusula,-5.8125,-5.8125
Hafgan,-5.96875,-5.96875
Bizarrerie,-5.625,-5.625
Sinarquista,-5.96875,-5.96875
Hypercatharsis,-6.3125,-6.3125
Quiets,-5.59375,-5.59375
Ketimid,-5.96875,-5.96875
Francic,-5.96875,-5.96875
Fibrinose,-5.84375,-5.84375
Summity,-5.625,-5.625
Sodamides,-5.59375,-5.59375
Crustosis,-5.84375,-5.84375
Diastaltic,-5.625,-5.625
Slopers,-5.96875,-5.96875
Lechery,-5.96875,-5.96875
Colubriformes,-5.96875,-5.96875
Heliological,-5.8125,-5.8125
Exuberance,-5.9375,-5.9375
Isopropanol,-5.84375,-5.84375
Dilatator,-5.59375,-5.59375
Subglenoid,-5.625,-5.625
Overpassionate,-5.6875,-5.6875
Eurypterid,-5.5,-5.5
Monorganic,-5.71875,-5.71875
Picrodendron,-5.71875,-5.71875
Aphrizite,-5.875,-5.875
Wasteland,-5.34375,-5.34375
Colonoscope,-5.71875,-5.71875
Falcon,-5.84375,-5.84375
Trichoglossia,-5.71875,-5.71875
Canamary,-5.6875,-5.6875
Skinflints,-5.71875,-5.71875
Chilostoma,-5.96875,-5.96875
Curiouser,-5.625,-5.625
Castlet,-5.8125,-5.8125
Coggie,-5.96875,-5.96875
Pseudelminth,-5.625,-5.625
Viators,-5.71875,-5.71875
Piratry,-5.96875,-5.96875
Outwills,-5.59375,-5.59375
Metrologist,-5.625,-5.625
Reimbush,-5.6875,-5.6875
Redeemless,-5.5,-5.5
Underspin,-5.71875,-5.71875
Connarite,-5.96875,-5.96875
Dulcian,-5.46875,-5.46875
Underhole,-5.84375,-5.84375
Melleous,-5.71875,-5.71875
Hyperorthodox,-5.96875,-5.96875
Unipersonal,-6.09375,-6.09375
Mosquito,-5.46875,-5.46875
Concentrations,-5.96875,-5.96875
Doorlike,-5.96875,-5.96875
Succent,-5.8125,-5.8125
Transferor,-6.0625,-6.0625
Boyars,-5.96875,-5.96875
Surreal,-5.71875,-5.71875
Santalol,-5.96875,-5.96875
Myoneure,-5.96875,-5.96875
Gundeck,-5.71875,-5.71875
Cappadocian,-5.46875,-5.46875
Bloodbeat,-5.84375,-5.84375
Succories,-5.84375,-5.84375
Itineritious,-5.5,-5.5
Ferroboron,-5.46875,-5.46875
Menisci,-5.96875,-5.96875
Screwman,-5.84375,-5.84375
Dopant,-5.8125,-5.8125
Bielenite,-5.84375,-5.84375
Chepster,-5.71875,-5.71875
Oecist,-5.59375,-5.59375
Punier,-5.84375,-5.84375
Misendeavor,-6.0625,-6.0625
Hitchiest,-5.6875,-5.6875
Appledrane,-5.8125,-5.8125
Hemiasynergia,-6.09375,-6.09375
Oosperm,-5.84375,-5.84375
Jessica,-5.84375,-5.84375
Philopornist,-5.71875,-5.71875
Laplandic,-5.96875,-5.96875
Nontronite,-5.625,-5.625
Lymphocytotic,-5.71875,-5.71875
Nemeses,-5.71875,-5.71875
Plebescite,-5.71875,-5.71875
Whirlpools,-5.71875,-5.71875
Bolshie,-5.84375,-5.84375
Actins,-5.8125,-5.8125
Pretorium,-5.71875,-5.71875
Relational,-6.09375,-6.09375
Malefactor,-5.71875,-5.71875
Mabuti,-5.8125,-5.8125
Stigmatist,-5.34375,-5.34375
Bayous,-5.625,-5.625
Ergophobia,-5.96875,-5.96875
Boobyalla,-6.3125,-6.3125
Precisionism,-6.0,-6.0
Reseen,-5.8125,-5.8125
Creatinuria,-5.9375,-5.9375
Khediviate,-5.96875,-5.96875
Quinquefoliate,-5.59375,-5.59375
Begarnish,-5.6875,-5.6875
Prolepses,-5.84375,-5.84375
Pretemporal,-5.8125,-5.8125
Nephrolithosis,-6.09375,-6.09375
Interscendent,-5.625,-5.625
Luciferidae,-5.84375,-5.84375
Ceroid,-5.59375,-5.59375
Weeknight,-5.375,-5.375
Concentive,-5.71875,-5.71875
Grillades,-5.8125,-5.8125
Acolhuan,-5.71875,-5.71875
Basidia,-6.09375,-6.09375
Ectocuniform,-5.8125,-5.8125
Fumaroidal,-5.9375,-5.9375
Unsomatic,-5.71875,-5.71875
Anticachectic,-5.84375,-5.84375
Belabours,-5.84375,-5.84375
Tropaeolaceous,-5.71875,-5.71875
Nonimmunities,-5.46875,-5.46875
Sullan,-5.84375,-5.84375
Foreassurance,-5.84375,-5.84375
Complexus,-6.09375,-6.09375
Algesireceptor,-5.59375,-5.59375
Phanic,-5.59375,-5.59375
Grapes,-5.8125,-5.8125
Craspedota,-5.75,-5.75
Fossage,-5.8125,-5.8125
Temerarious,-5.96875,-5.96875
Bushes,-5.84375,-5.84375
Indeficiency,-5.96875,-5.96875
Lentamente,-5.96875,-5.96875
Arsenobismite,-5.96875,-5.96875
Administrators,-5.71875,-5.71875
Photochemist,-5.625,-5.625
Quellers,-6.09375,-6.09375
Bathyplankton,-5.59375,-5.59375
Deadfalls,-5.59375,-5.59375
Tumblerful,-5.71875,-5.71875
Bluesy,-5.8125,-5.8125
Urgings,-5.59375,-5.59375
Counterbore,-5.84375,-5.84375
Patrolwoman,-5.84375,-5.84375
Cucurbits,-5.8125,-5.8125
Discoideae,-5.84375,-5.84375
Antiagglutinin,-5.84375,-5.84375
Shiatsu,-6.3125,-6.3125
Homotransplant,-5.75,-5.75
Annotates,-5.96875,-5.96875
Tucuman,-5.71875,-5.71875
Bowdlerizer,-5.46875,-5.46875
Birses,-5.71875,-5.71875
Farcers,-5.59375,-5.59375
Alsinaceae,-5.96875,-5.96875
Axiologies,-5.96875,-5.96875
Pectinidae,-5.96875,-5.96875
Toastmastery,-5.84375,-5.84375
Mercantilism,-5.96875,-5.96875
Predesirous,-5.71875,-5.71875
Teakettle,-5.59375,-5.59375
Spondylioid,-5.84375,-5.84375
Sonatas,-5.9375,-5.9375
Polyuria,-5.46875,-5.46875
Prinks,-5.46875,-5.46875
Deices,-5.84375,-5.84375
Droguet,-5.71875,-5.71875
Enhances,-5.8125,-5.8125
Hooliganize,-6.34375,-6.34375
Paranthracene,-5.59375,-5.59375
Conceptacular,-5.625,-5.625
Sloopman,-5.8125,-5.8125
Cystopus,-5.71875,-5.71875
Peroxide,-5.71875,-5.71875
Rededicatory,-5.71875,-5.71875
Forbidals,-5.96875,-5.96875
Margaritomancy,-5.9375,-5.9375
Sorosilicate,-5.71875,-5.71875
Ollenite,-5.96875,-5.96875
Impleads,-5.75,-5.75
Wanshape,-5.8125,-5.8125
Phacopid,-5.71875,-5.71875
Rawish,-5.8125,-5.8125
Tarcel,-5.9375,-5.9375
Yenite,-5.5,-5.5
Potterers,-5.96875,-5.96875
Frizzlier,-5.59375,-5.59375
Larger,-5.9375,-5.9375
Heathenize,-5.96875,-5.96875
Overdignify,-5.8125,-5.8125
Rowlet,-5.34375,-5.34375
Crackleware,-5.46875,-5.46875
Jumpoffs,-5.71875,-5.71875
Jacuaru,-5.71875,-5.71875
Phulwara,-5.84375,-5.84375
Subventricular,-5.84375,-5.84375
Ungenerative,-5.8125,-5.8125
Mayberry,-5.46875,-5.46875
Stuber,-5.84375,-5.84375
Agglutinogenic,-5.71875,-5.71875
Mockish,-5.625,-5.625
Staters,-5.84375,-5.84375
Stinkhorn,-5.46875,-5.46875
Cheung,-5.96875,-5.96875
Jobmonger,-5.59375,-5.59375
Amurca,-5.84375,-5.84375
Uncorrigible,-5.71875,-5.71875
Orchiectomy,-5.71875,-5.71875
Cogener,-6.0625,-6.0625
Sequest,-5.59375,-5.59375
Threepenny,-5.46875,-5.46875
Braggle,-5.59375,-5.59375
Baffies,-6.09375,-6.09375
Kairotic,-5.71875,-5.71875
Ballasts,-5.96875,-5.96875
Laurite,-5.96875,-5.96875
Boathouse,-5.96875,-5.96875
Bushmasters,-5.59375,-5.59375
Alabandite,-5.96875,-5.96875
Pharmacopedics,-5.71875,-5.71875
Strawlike,-5.84375,-5.84375
Divestible,-5.71875,-5.71875
Puddingwives,-5.46875,-5.46875
Polymery,-5.84375,-5.84375
Merostome,-5.71875,-5.71875
Standpoints,-6.3125,-6.3125
Monarchy,-5.84375,-5.84375
Holloware,-5.625,-5.625
Descrier,-5.5,-5.5
Meanderers,-6.34375,-6.34375
Semiconoidal,-5.625,-5.625
Adytta,-5.59375,-5.59375
Diotic,-5.625,-5.625
Fishermen,-5.6875,-5.6875
Halbert,-5.625,-5.625
Bleachground,-5.625,-5.625
Hippiatrics,-5.71875,-5.71875
Becurl,-5.6875,-5.6875
Camass,-5.71875,-5.71875
Adipic,-5.6875,-5.6875
Unisonant,-5.84375,-5.84375
Moggan,-5.84375,-5.84375
Padshahs,-6.3125,-6.3125
Aworth,-5.84375,-5.84375
Polyodontal,-5.71875,-5.71875
Breakpoints,-5.6875,-5.6875
Tidinesses,-5.84375,-5.84375
Isazoxy,-5.8125,-5.8125
Animadvert,-5.625,-5.625
Profichi,-5.71875,-5.71875
Astound,-5.6875,-5.6875
Courante,-5.71875,-5.71875
Romeine,-5.375,-5.375
Polytheistic,-5.71875,-5.71875
Bliaut,-5.8125,-5.8125
Nonpainter,-5.34375,-5.34375
Nonforensic,-5.71875,-5.71875
Unvital,-5.8125,-5.8125
Yokelism,-5.625,-5.625
Spuriae,-5.9375,-5.9375
Microfelsitic,-5.71875,-5.71875
Algates,-5.84375,-5.84375
Graveship,-5.5,-5.5
Racemulose,-5.71875,-5.71875
Tribes,-6.09375,-6.09375
Orbiculoidea,-5.84375,-5.84375
Footropes,-5.84375,-5.84375
Helicogyrate,-5.71875,-5.71875
Epicele,-5.59375,-5.59375
Precautionary,-5.6875,-5.6875
Interoffice,-5.875,-5.875
Neohipparion,-5.96875,-5.96875
Aliyah,-6.09375,-6.09375
Javelina,-5.96875,-5.96875
Reshape,-5.84375,-5.84375
Ribbandry,-5.84375,-5.84375
Bejuco,-5.96875,-5.96875
Amebas,-6.09375,-6.09375
Pastime,-5.59375,-5.59375
Adenoses,-5.84375,-5.84375
Arsedine,-5.59375,-5.59375
Aladinist,-5.59375,-5.59375
Intext,-5.6875,-5.6875
Eluders,-5.96875,-5.96875
Dodoism,-6.09375,-6.09375
Tabanuco,-5.59375,-5.59375
Waferwork,-5.71875,-5.71875
Naology,-5.96875,-5.96875
Expectancies,-5.8125,-5.8125
Almoravid,-5.84375,-5.84375
Graphanalysis,-5.96875,-5.96875
Kitmudgar,-6.09375,-6.09375
Felliducous,-5.5,-5.5
Ampullula,-5.71875,-5.71875
Cacodaemoniac,-5.59375,-5.59375
Vigentennial,-5.9375,-5.9375
Pythagoreans,-5.59375,-5.59375
Hooker,-5.46875,-5.46875
Fairyish,-5.5,-5.5
Simplex,-6.09375,-6.09375
Emanator,-5.71875,-5.71875
Sciotheric,-5.84375,-5.84375
Firefight,-5.71875,-5.71875
Baronetize,-6.09375,-6.09375
Gonosome,-5.84375,-5.84375
Antiflash,-5.96875,-5.96875
Snakelike,-5.34375,-5.34375
Rupicolinae,-5.84375,-5.84375
Daystars,-5.71875,-5.71875
Neighbor,-5.71875,-5.71875
Buttwood,-5.46875,-5.46875
Inertia,-5.71875,-5.71875
Fulfillments,-5.71875,-5.71875
Grouselike,-5.8125,-5.8125
Octoradial,-5.84375,-5.84375
Kiefekil,-5.71875,-5.71875
Ephahs,-5.59375,-5.59375
Unstoicize,-5.96875,-5.96875
Botcher,-5.9375,-5.9375
Maxillipede,-5.46875,-5.46875
Gravid,-5.59375,-5.59375
Mesiolabial,-6.09375,-6.09375
Wotteth,-5.9375,-5.9375
Concionary,-5.96875,-5.96875
Turnipwood,-5.8125,-5.8125
Bosoms,-5.84375,-5.84375
Kansans,-6.4375,-6.4375
Interjoist,-5.59375,-5.59375
Ismatic,-5.96875,-5.96875
Loverwise,-5.71875,-5.71875
Clonos,-5.84375,-5.84375
Decompound,-6.0625,-6.0625
Prelapsarian,-5.46875,-5.46875
Paedomorphic,-5.59375,-5.59375
Reposure,-5.96875,-5.96875
Efflagitate,-5.8125,-5.8125
Dribbet,-5.71875,-5.71875
Matapan,-5.59375,-5.59375
Personifies,-6.09375,-6.09375
Ileitides,-6.4375,-6.4375
Blastomyces,-5.71875,-5.71875
Flapcake,-5.8125,-5.8125
Foolify,-5.96875,-5.96875
Escars,-5.8125,-5.8125
Bootery,-5.46875,-5.46875
Soldierwood,-5.84375,-5.84375
Werewolfish,-5.6875,-5.6875
Penang,-6.1875,-6.1875
Mycogastritis,-5.96875,-5.96875
Midinette,-6.09375,-6.09375
Readership,-5.84375,-5.84375
Janisary,-5.71875,-5.71875
Schultenite,-5.59375,-5.59375
Nonchromosomal,-5.625,-5.625
Uncinus,-5.8125,-5.8125
Maccoboys,-6.09375,-6.09375
Righter,-5.96875,-5.96875
Drammocks,-5.46875,-5.46875
Showboat,-5.46875,-5.46875
Subrhomboidal,-5.8125,-5.8125
Postcaval,-5.71875,-5.71875
Solenite,-6.09375,-6.09375
Summery,-5.375,-5.375
Hymenic,-5.8125,-5.8125
Siller,-5.84375,-5.84375
Hutzpahs,-6.1875,-6.1875
Tessaraphthong,-5.59375,-5.59375
Uppish,-5.59375,-5.59375
Ancora,-6.21875,-6.21875
Albocinereous,-5.59375,-5.59375
Philogenitive,-5.8125,-5.8125
Semitheatrical,-5.5,-5.5
Affectability,-5.9375,-5.9375
Cytopharynx,-5.84375,-5.84375
Etheostomidae,-6.09375,-6.09375
Conquistador,-5.34375,-5.34375
Sangers,-5.84375,-5.84375
Glossopteris,-5.6875,-5.6875
Tesseraic,-5.71875,-5.71875
Perisarcous,-5.71875,-5.71875
Plunge,-5.46875,-5.46875
Follicular,-5.6875,-5.6875
Chickasaw,-5.71875,-5.71875
Misdeem,-5.8125,-5.8125
Paddymelon,-5.59375,-5.59375
Millefiori,-5.96875,-5.96875
Jinshang,-6.09375,-6.09375
Unsaccharic,-5.75,-5.75
Incompliance,-5.71875,-5.71875
Organoleptic,-5.96875,-5.96875
Acridines,-5.375,-5.375
Elytropolypus,-5.71875,-5.71875
Undername,-5.71875,-5.71875
Phleboplasty,-6.0,-6.0
Distance,-5.71875,-5.71875
Nonimpact,-5.84375,-5.84375
Fisheries,-6.09375,-6.09375
Falsetto,-5.96875,-5.96875
Pattern,-5.9375,-5.9375
Respirometer,-5.5,-5.5
Recipiency,-5.84375,-5.84375
Activities,-6.09375,-6.09375
Noviciate,-6.3125,-6.3125
Mentionless,-5.96875,-5.96875
Tobaccoism,-5.59375,-5.59375
Clerum,-5.9375,-5.9375
Ascendible,-6.0625,-6.0625
